first_name,last_name,company,title,linkedin_url,location,message_step1,message_step2,message_step3,message_step4
,,Mosh,Chief Operating Officer,,,"Glenn, at Mosh you're building the digital health future. The body measurement piece of that stack — still a gap. Remote scanning from a phone closes it.","Good to connect. Quick context: I'm from 3DLOOK — FitXpress generates 80+ verified body measurements and composition data from two photos, delivered via API.
For Mosh's product roadmap, remote body measurement fills a specific gap in the digital health experience. Members enrolled in wellness programs, weight management, or post-surgical recovery need regular body measurement data — but current options are either clinic visits (low compliance) or self-report (low accuracy). FitXpress delivers 96-97% accuracy vs manual measurements from two photos, with full body composition including body fat percentage and lean mass. The data flows via API into whatever system Mosh uses to track member health outcomes.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Glenn — a digital health stack thought. Most platforms have digitized claims, telehealth, and member portals. Body measurement is the piece that's still analog. FitXpress fills that gap: 96-97% accuracy vs manual measurements, 45 seconds, API integration. For Mosh: a digital measurement layer that completes the virtual care experience. 15 minutes to walk through the integration?","Glenn — last note from me. If adding remote body measurement to Mosh's digital health stack ever becomes a priority, I'm available."
,,Medibank,"Head of Mental Health, Health Ventures",,,"Stephanie, Medibank preventive health — Australia's health insurers are competing on wellness program engagement. The differentiator: showing members real, visible progress they can track.","Thanks for connecting. I'm from 3DLOOK — FitXpress captures 80+ body measurements, body composition, and a 3D body model from two smartphone photos in 45 seconds.
Here's the preventive health insight: members who see their progress stay enrolled. Members who only see a number on a scale drop out. FitXpress delivers that visual progress layer — two photos every 30 days, a 3D model that shows body composition changes that a scale can't capture (fat loss, muscle gain, measurement changes across 80+ data points). For Medibank's wellness programs, this means higher completion rates, better health outcomes, and members who attribute their progress directly to their insurer — strengthening retention and NPS.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Stephanie — a member engagement thought. The insurers winning on retention are the ones giving members visible proof of their health progress. FitXpress delivers that: two photos, 45 seconds, 3D progress visualization. For Medibank wellness programs: higher completion rates, stronger member loyalty. 15 minutes to see the member experience?","Stephanie — final one. If visual body progress as a member retention tool becomes relevant for Medibank's health programs, reach out."
,,Bupa Australia,Head of Growth,,,"Christian, Bupa Australia — member engagement isn't about more emails or app notifications. It's about giving members something they want to use. A 3D body scan that tracks their progress is exactly that.","Appreciate the connection. I'm from 3DLOOK — we built FitXpress to turn two smartphone photos into verified body measurements and composition data in under a minute.
Here's what matters for Bupa Australia's member experience: health insurers spend millions on acquisition but comparatively little on giving members a reason to stay. FitXpress changes that equation. It gives members a monthly health ritual — a 45-second body scan that shows real, measurable progress. The 3D model lets members see changes that a scale can't capture: body recomposition, measurement reductions, posture improvements. The body composition data gives them clinical-grade metrics they'd normally only get from a DEXA scan or professional assessment. For Bupa Australia members: a health tracking experience that feels premium, personal, and worth staying for. 96-97% accuracy vs manual measurements, 95%+ repeatability across scans.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest.","Christian — one more on member engagement. FitXpress turns body measurement into a monthly member ritual: two photos, 3D progress model, body composition breakdown. 96-97% accuracy vs manual measurements, 45 seconds. For Bupa Australia: NPS and retention through visible health progress. 15-minute walkthrough?","Christian — won't keep going. If member engagement through verified body progress tracking comes up at Bupa Australia, happy to show how it works."
,,Medibank,Head of Marketing Technology and Orchestration,,,"Jonathan, Medibank digital health roadmap — the shift to virtual care is real. But body measurement data is still manual. A 45-second remote scan fills that gap.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
Here's why this matters for Medibank's digital transformation: verified body data is the clinical anchor that makes virtual health programs defensible. Without it, you're relying on member self-report — which introduces error and undermines program ROI measurement. FitXpress provides audit-ready body measurement data captured remotely. For a health insurer, that means you can prove that your digital wellness programs actually produce measurable physical outcomes — not just engagement metrics.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Jonathan — specifically on the measurement gap. Medibank has the digital infrastructure. What's missing is remote body measurement that's accurate enough for clinical use and simple enough for member adoption. FitXpress delivers both: 96-97% accuracy vs manual measurements, 45 seconds. 15-minute demo?","Jonathan — last note from me. If adding remote body measurement to Medibank's digital health stack ever becomes a priority, I'm available."
,,Bupa Australia,Head of Customer Engagement,,,"Michelle, you're focused on member engagement at Bupa Australia. The metric that matters: do members attribute health progress to their insurer? Visual body tracking makes that attribution real.","Thanks for connecting. I'm from 3DLOOK — FitXpress captures 80+ body measurements, body composition, and a 3D body model from two smartphone photos in 45 seconds.
Here's the member engagement insight for Bupa Australia: health insurance is a low-touch product. Most members interact with their insurer only when they're sick or when a bill arrives. FitXpress creates a positive, monthly touchpoint — a 45-second scan that shows members their health progress. The 3D model and body composition breakdown give members something they actually want to see. The progress timeline builds a health story that members associate with Bupa Australia. This isn't gamification — it's clinical-grade body measurement that members use because the output is genuinely interesting and useful. For retention: members who scan monthly are members who renew.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Michelle — one more on member engagement. FitXpress turns body measurement into a monthly member ritual: two photos, 3D progress model, body composition breakdown. 96-97% accuracy vs manual measurements, 45 seconds. For Bupa Australia: NPS and retention through visible health progress. 15-minute walkthrough?","Michelle — last note. If giving Bupa Australia members a body scanning tool that drives retention ever becomes a priority, I'm available."
,,Bupa Australia,Head of Corporate Partnerships,,,"Joanne, Bupa Australia — members join health programs with good intentions, then drop off. Remote body scanning with visual progress changes that dynamic.","Appreciate the connection. I'm from 3DLOOK — we built FitXpress to turn two smartphone photos into verified body measurements and composition data in under a minute.
For Bupa Australia, the preventive health opportunity is turning wellness programs from a cost center into a retention engine. Members who actively track their health progress are less likely to switch insurers. The challenge is giving them tracking tools they'll actually use. FitXpress delivers that: two photos, 45 seconds, a detailed 3D model with body composition breakdown. 96-97% accuracy vs manual measurements means the data is trustworthy. The visual progress comparison means members stay engaged month after month. For a health insurer, that's measurable ROI: higher program completion rates, lower churn among wellness participants, and stronger NPS from members who feel their insurer invested in their health.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing.","Joanne — specifically on member retention. FitXpress turns body measurement into an engagement feature: 3D progress visualization that members actually look forward to. 96-97% accuracy vs manual measurements, 45 seconds from their phone. For Bupa Australia health programs: a retention tool disguised as a member benefit. 10 minutes?","Joanne — final one. If visual body progress as a member retention tool becomes relevant for Bupa Australia's health programs, reach out."
,,HCF Australia,Head of Business Insights,,,"Robert, at HCF Australia you're shaping how members engage with their health. The missing tool: remote body measurement that shows real, measurable progress — not just steps and calories.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
For HCF Australia's member health programs, the missing piece is objective progress data that members can see and trust. Self-reported weight is unreliable. Gym check-ins track attendance, not outcomes. FitXpress provides verified body measurement that captures actual physical change: body fat percentage trends, lean mass changes, measurement reductions across 80+ data points. The 3D model with side-by-side comparison gives members an undeniable view of their progress. This isn't gamification — it's clinical-grade measurement presented in a way that drives sustained engagement. 96-97% accuracy vs manual measurements, 95%+ repeatability across scans.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Robert — specifically on member retention. FitXpress turns body measurement into an engagement feature: 3D progress visualization that members actually look forward to. 96-97% accuracy vs manual measurements, 45 seconds from their phone. For HCF Australia health programs: a retention tool disguised as a member benefit. 10 minutes?","Robert — last note. If adding visual progress tracking to HCF Australia's member health programs ever becomes a priority, I'm available."
,,Medibank,Head of Data Governance,,,"Chris, compliance and governance at Medibank — as health insurers add digital health tools, the regulatory exposure grows. Verified body data with an audit trail protects both members and the organization.","Appreciate the connection. I'm from 3DLOOK — FitXpress generates verified body measurements from two photos, built from the ground up for regulated health environments.
For Medibank, the governance case for verified body measurement is straightforward: if your health programs are making decisions based on member body data — eligibility for a program, progress through a pathway, clinical intervention triggers — that data needs to be auditable. Self-reported weight and manual tape measurements don't meet that standard. FitXpress provides 96-97% accuracy vs manual measurements with 95%+ repeatability across scans, plus a complete audit trail. Every measurement is traceable to a specific scan event. The data is immutable once generated. For compliance teams, that's the difference between body data you can stand behind and data you hope is accurate.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Chris — one more. FitXpress was built for regulated health environments: 96-97% accuracy vs manual measurements, full audit trail, zero personal identifiers, encryption at every stage. UK Meds integrated it for BMI verification in pharmacy dispensing — their compliance team signed off because the audit trail is regulator-ready. For Medibank: the same governance standard. Worth 10 minutes?","Chris — leaving this here. If verified, audit-ready body measurement with a defensible compliance framework ever becomes relevant at Medibank, I'm available."
,,Bupa Australia,"Director, Domestic Portfolio APAC (aka Chief Customer Officer)",,,"Andrew, Bupa Australia — member engagement isn't about more emails or app notifications. It's about giving members something they want to use. A 3D body scan that tracks their progress is exactly that.","Good to connect. Quick context: I'm from 3DLOOK — FitXpress generates 80+ verified body measurements and composition data from two photos, delivered via API.
Here's the member engagement insight for Bupa Australia: health insurance is a low-touch product. Most members interact with their insurer only when they're sick or when a bill arrives. FitXpress creates a positive, monthly touchpoint — a 45-second scan that shows members their health progress. The 3D model and body composition breakdown give members something they actually want to see. The progress timeline builds a health story that members associate with Bupa Australia. This isn't gamification — it's clinical-grade body measurement that members use because the output is genuinely interesting and useful. For retention: members who scan monthly are members who renew.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Andrew — a retention perspective. The members who stay are the ones who feel their insurer invested in their health. FitXpress gives Bupa Australia members a body scanning tool they'll use monthly: 3D model, progress visualization, body composition. Yazen's #1 retention feature. For Bupa Australia: measurable retention lift. 15 minutes to see the member experience?","Andrew — leaving this here. If remote body measurement as a member retention tool ever becomes relevant at Bupa Australia, I'm available."
,,Bupa Australia,"General Manager - Growth, Government Services",,,"René, Bupa Australia growth strategy — the most undervalued retention tool in health insurance: giving members visible proof that their health is improving. FitXpress delivers that proof.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
Here's the member engagement insight for Bupa Australia: health insurance is a low-touch product. Most members interact with their insurer only when they're sick or when a bill arrives. FitXpress creates a positive, monthly touchpoint — a 45-second scan that shows members their health progress. The 3D model and body composition breakdown give members something they actually want to see. The progress timeline builds a health story that members associate with Bupa Australia. This isn't gamification — it's clinical-grade body measurement that members use because the output is genuinely interesting and useful. For retention: members who scan monthly are members who renew.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","René — one more on member engagement. FitXpress turns body measurement into a monthly member ritual: two photos, 3D progress model, body composition breakdown. 96-97% accuracy vs manual measurements, 45 seconds. For Bupa Australia: NPS and retention through visible health progress. 15-minute walkthrough?","René — won't keep going. If member engagement through verified body progress tracking comes up at Bupa Australia, happy to show how it works."
,,Bupa Australia,Chair,,,"Tony, you're driving digital transformation at Bupa Australia. One thing most digital health stacks miss: verified body measurement without a clinic visit. That gap is fixable.","Good to connect. Quick context: I'm from 3DLOOK — FitXpress generates 80+ verified body measurements and composition data from two photos, delivered via API.
Here's why this matters for Bupa Australia's digital transformation: verified body data is the clinical anchor that makes virtual health programs defensible. Without it, you're relying on member self-report — which introduces error and undermines program ROI measurement. FitXpress provides audit-ready body measurement data captured remotely. For a health insurer, that means you can prove that your digital wellness programs actually produce measurable physical outcomes — not just engagement metrics.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Tony — a digital health stack thought. Most insurers have digitized claims, telehealth, and member portals. Body measurement is the piece that's still analog. FitXpress fills that gap: 96-97% accuracy vs manual measurements, 45 seconds, API integration. For Bupa Australia: a digital measurement layer that completes the virtual care experience. 10 minutes to walk through the integration?","Tony — won't keep going. If verified body measurement as a digital health capability comes up at Bupa Australia, happy to show how it works."
,,HCF Australia,Head of Health and Wellbeing,,,"Linda, HCF Australia wellness strategy — member engagement is the metric that matters. Remote body measurement with progress visualization turns a clinical task into a member experience.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
Here's the preventive health insight: members who see their progress stay enrolled. Members who only see a number on a scale drop out. FitXpress delivers that visual progress layer — two photos every 30 days, a 3D model that shows body composition changes that a scale can't capture (fat loss, muscle gain, measurement changes across 80+ data points). For HCF Australia's wellness programs, this means higher completion rates, better health outcomes, and members who attribute their progress directly to their insurer — strengthening retention and NPS.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Linda — one more. Members who see their body changing are members who stay. FitXpress gives HCF Australia members a visual health tracking tool they'll use monthly. 96-97% accuracy vs manual measurements, 45 seconds. For preventive health programs: retention through visible results. 15-minute walkthrough?","Linda — final one. If visual body progress as a member retention tool becomes relevant for HCF Australia's health programs, reach out."
,,Medibank,Head of Operations | Workplace Health & Wellbeing. Ventures,,,"Tom, Medibank member health — the best preventive program is one members stick with. Side-by-side 3D body progress gives them the visual feedback that keeps them engaged.","Thanks for connecting. I'm from 3DLOOK — FitXpress captures 80+ body measurements, body composition, and a 3D body model from two smartphone photos in 45 seconds.
For Medibank's preventive health programs, the member engagement challenge is real: people sign up, do a few check-ins, then disappear. The problem isn't motivation — it's that progress feels invisible. A scale number changes slowly. A waist measurement tape is awkward. FitXpress changes the feedback loop: members take two photos on their phone every 30 days, and get a 3D body model showing exactly where their body changed — side by side with their previous scan. 96-97% accuracy vs manual measurements, full body composition data. The Yazen case study proves the retention impact: 34,000 scans in 2025, and the side-by-side 3D visualization is their #1 retention feature.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Tom — specifically on member retention. FitXpress turns body measurement into an engagement feature: 3D progress visualization that members actually look forward to. 96-97% accuracy vs manual measurements, 45 seconds from their phone. For Medibank health programs: a retention tool disguised as a member benefit. 15 minutes?","Tom — last note. If adding visual progress tracking to Medibank's member health programs ever becomes a priority, I'm available."
,,Medibank,Squad Lead / Head of Technology - Architecture,,,"Cameron, you're driving digital transformation at Medibank. One thing most digital health stacks miss: verified body measurement without a clinic visit. That gap is fixable.","Appreciate the connection. I'm from 3DLOOK — we built FitXpress to turn two smartphone photos into verified body measurements and composition data in under a minute.
For Medibank's product roadmap, remote body measurement fills a specific gap in the digital health experience. Members enrolled in wellness programs, weight management, or post-surgical recovery need regular body measurement data — but current options are either clinic visits (low compliance) or self-report (low accuracy). FitXpress delivers 96-97% accuracy vs manual measurements from two photos, with full body composition including body fat percentage and lean mass. The data flows via API into whatever system Medibank uses to track member health outcomes.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Cameron — quick thought. FitXpress turns body measurement into an API call: two photos in, 80+ measurements + body composition out. 96-97% accuracy vs manual measurements, HIPAA-compliant, integrates into any digital health stack. For Medibank: verified body data as a product feature. 10 minutes?","Cameron — won't keep going. If verified body measurement as a digital health capability comes up at Medibank, happy to show how it works."
,,Medibank,"Head of Virtual Health, Amplar Health",,,"Pauline, digital product at Medibank — most health insurers are layering digital services on top of analog measurement. Body data captured remotely closes that last gap.","Thanks for connecting. I'm from 3DLOOK — FitXpress captures 80+ body measurements, body composition, and a 3D body model from two smartphone photos in 45 seconds.
For Medibank's product roadmap, remote body measurement fills a specific gap in the digital health experience. Members enrolled in wellness programs, weight management, or post-surgical recovery need regular body measurement data — but current options are either clinic visits (low compliance) or self-report (low accuracy). FitXpress delivers 96-97% accuracy vs manual measurements from two photos, with full body composition including body fat percentage and lean mass. The data flows via API into whatever system Medibank uses to track member health outcomes.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Pauline — quick thought. FitXpress turns body measurement into an API call: two photos in, 80+ measurements + body composition out. 96-97% accuracy vs manual measurements, HIPAA-compliant, integrates into any digital health stack. For Medibank: verified body data as a product feature. 15 minutes?","Pauline — last note from me. If adding remote body measurement to Medibank's digital health stack ever becomes a priority, I'm available."
,,Bupa Australia,"Chief Operating Officer Dental, Optical & Hearing",,,"Carl, you run Dental, Optical & Hearing operations at Bupa Australia. Across these clinical service lines, body measurement data tracks patient outcomes. Remote capture makes that data consistent and auditable.","Thanks for connecting. I'm from 3DLOOK — FitXpress captures 80+ body measurements and body composition from two smartphone photos in 45 seconds.
For clinical service operations at Bupa Australia's scale — Dental, Optical, Hearing — the measurement challenge might not seem obvious at first. But body composition and measurement data are increasingly relevant for patient outcome tracking, particularly for treatment pathways where weight changes, fluid retention, or body composition shifts are clinical indicators.
FitXpress provides a standardized measurement protocol that any clinician can use in 45 seconds — two photos from a phone or tablet, verified measurements with 96-97% accuracy vs manual measurements. The data is timestamped, auditable, and integrates into existing clinical systems via API.","Carl — quick thought. Across Bupa's clinical service lines, standardized body measurement for patient outcome tracking could strengthen clinical governance and operational consistency. FitXpress delivers that: 96-97% accuracy vs manual measurements, 45 seconds, full audit trail. Worth 10 minutes if it's on your radar?","Carl — last note. If standardized body measurement for Bupa's clinical operations ever becomes relevant across your service lines, I'm available."
,,Medibank,Head of Health Policy,,,"Jennifer, at Medibank you know member health outcomes drive retention. The gap: members need to see their progress to stay motivated. Remote body scanning with visual comparison delivers that.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
For Medibank's member health programs, the missing piece is objective progress data that members can see and trust. Self-reported weight is unreliable. Gym check-ins track attendance, not outcomes. FitXpress provides verified body measurement that captures actual physical change: body fat percentage trends, lean mass changes, measurement reductions across 80+ data points. The 3D model with side-by-side comparison gives members an undeniable view of their progress. This isn't gamification — it's clinical-grade measurement presented in a way that drives sustained engagement. 96-97% accuracy vs manual measurements, 95%+ repeatability across scans.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Jennifer — one more. Members who see their body changing are members who stay. FitXpress gives Medibank members a visual health tracking tool they'll use monthly. 96-97% accuracy vs manual measurements, 45 seconds. For preventive health programs: retention through visible results. 15-minute walkthrough?","Jennifer — last note. If adding visual progress tracking to Medibank's member health programs ever becomes a priority, I'm available."
,,Medibank,"Manager, Health Policy",,,"Annie, you're focused on health outcomes at Medibank. The retention problem in wellness programs: members don't see results fast enough. A 3D body scan that shows progress visually solves that.","Thanks for connecting. I'm from 3DLOOK — FitXpress captures 80+ body measurements, body composition, and a 3D body model from two smartphone photos in 45 seconds.
For Medibank's member health programs, the missing piece is objective progress data that members can see and trust. Self-reported weight is unreliable. Gym check-ins track attendance, not outcomes. FitXpress provides verified body measurement that captures actual physical change: body fat percentage trends, lean mass changes, measurement reductions across 80+ data points. The 3D model with side-by-side comparison gives members an undeniable view of their progress. This isn't gamification — it's clinical-grade measurement presented in a way that drives sustained engagement. 96-97% accuracy vs manual measurements, 95%+ repeatability across scans.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Annie — one more. Members who see their body changing are members who stay. FitXpress gives Medibank members a visual health tracking tool they'll use monthly. 96-97% accuracy vs manual measurements, 45 seconds. For preventive health programs: retention through visible results. 15-minute walkthrough?","Annie — won't keep going. If member engagement through body progress tracking comes up at Medibank, happy to show the member experience."
,,Medibank,Chief Executive Officer,,,"David, Medibank member health — the best preventive program is one members stick with. Side-by-side 3D body progress gives them the visual feedback that keeps them engaged.","Good to connect. Quick context: I'm from 3DLOOK — FitXpress generates 80+ verified body measurements and composition data from two photos, delivered via API.
For Medibank's preventive health programs, the member engagement challenge is real: people sign up, do a few check-ins, then disappear. The problem isn't motivation — it's that progress feels invisible. A scale number changes slowly. A waist measurement tape is awkward. FitXpress changes the feedback loop: members take two photos on their phone every 30 days, and get a 3D body model showing exactly where their body changed — side by side with their previous scan. 96-97% accuracy vs manual measurements, full body composition data. The Yazen case study proves the retention impact: 34,000 scans in 2025, and the side-by-side 3D visualization is their #1 retention feature.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","David — a member engagement thought. The insurers winning on retention are the ones giving members visible proof of their health progress. FitXpress delivers that: two photos, 45 seconds, 3D progress visualization. For Medibank wellness programs: higher completion rates, stronger member loyalty. 15 minutes to see the member experience?","David — last note. If adding visual progress tracking to Medibank's member health programs ever becomes a priority, I'm available."
,,Medibank,Head of Content & Campaigns,,,"Liz, product strategy at Medibank — members expect digital-first everything. Body measurement is the clinical data point that's still analog. Remote capture solves that.","Appreciate the connection. I'm from 3DLOOK — we built FitXpress to turn two smartphone photos into verified body measurements and composition data in under a minute.
For Medibank's product roadmap, remote body measurement fills a specific gap in the digital health experience. Members enrolled in wellness programs, weight management, or post-surgical recovery need regular body measurement data — but current options are either clinic visits (low compliance) or self-report (low accuracy). FitXpress delivers 96-97% accuracy vs manual measurements from two photos, with full body composition including body fat percentage and lean mass. The data flows via API into whatever system Medibank uses to track member health outcomes.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Liz — a digital health stack thought. Most insurers have digitized claims, telehealth, and member portals. Body measurement is the piece that's still analog. FitXpress fills that gap: 96-97% accuracy vs manual measurements, 45 seconds, API integration. For Medibank: a digital measurement layer that completes the virtual care experience. 10 minutes to walk through the integration?","Liz — last note from me. If adding remote body measurement to Medibank's digital health stack ever becomes a priority, I'm available."
,,Medibank,Head of Overseas Partnerships and Sales,,,"Sarah, Medibank preventive health — Australia's health insurers are competing on wellness program engagement. The differentiator: showing members real, visible progress they can track.","Good to connect. Quick context: I'm from 3DLOOK — FitXpress generates 80+ verified body measurements and composition data from two photos, delivered via API.
For Medibank's member health programs, the missing piece is objective progress data that members can see and trust. Self-reported weight is unreliable. Gym check-ins track attendance, not outcomes. FitXpress provides verified body measurement that captures actual physical change: body fat percentage trends, lean mass changes, measurement reductions across 80+ data points. The 3D model with side-by-side comparison gives members an undeniable view of their progress. This isn't gamification — it's clinical-grade measurement presented in a way that drives sustained engagement. 96-97% accuracy vs manual measurements, 95%+ repeatability across scans.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Sarah — quick thought on preventive health engagement. FitXpress transforms body measurement from a clinical task into a member experience: 3D model, side-by-side progress comparison, full body composition. Yazen saw retention skyrocket when they added this. For Medibank: measurable engagement lift for wellness programs. Worth 10 minutes?","Sarah — leaving this here. If verified body progress tracking for Medibank members ever becomes relevant, I'm available."
,,Bupa Australia,Engagement and Support Coordinator,,,"Pamela, Bupa Australia digital strategy — telehealth and virtual care are growing fast in Australia. But body measurement still defaults to in-person. Remote capture changes the equation.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
For Bupa Australia's product roadmap, remote body measurement fills a specific gap in the digital health experience. Members enrolled in wellness programs, weight management, or post-surgical recovery need regular body measurement data — but current options are either clinic visits (low compliance) or self-report (low accuracy). FitXpress delivers 96-97% accuracy vs manual measurements from two photos, with full body composition including body fat percentage and lean mass. The data flows via API into whatever system Bupa Australia uses to track member health outcomes.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Pamela — specifically on the measurement gap. Bupa Australia has the digital infrastructure. What's missing is remote body measurement that's accurate enough for clinical use and simple enough for member adoption. FitXpress delivers both: 96-97% accuracy vs manual measurements, 45 seconds. 15-minute demo?","Pamela — won't keep going. If verified body measurement as a digital health capability comes up at Bupa Australia, happy to show how it works."
,,Bupa Australia,"Partner - Digital, Data, & AI Risk | Technology APAC",,,"Alexander, you're driving digital transformation at Bupa Australia. One thing most digital health stacks miss: verified body measurement without a clinic visit. That gap is fixable.","Good to connect. Quick context: I'm from 3DLOOK — FitXpress generates 80+ verified body measurements and composition data from two photos, delivered via API.
For Bupa Australia's digital health stack, the opportunity is closing the loop between virtual care delivery and physical measurement data. Most insurers have invested in telehealth platforms, member apps, and digital claims — but when a member needs body measurement for a health program, the process still involves a clinic visit or a self-reported scale weight. FitXpress changes that: two photos from the member's phone, 45 seconds, verified measurements with 96-97% accuracy vs manual measurements. The API integrates directly into existing member apps and clinical workflows.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Alexander — a digital health stack thought. Most insurers have digitized claims, telehealth, and member portals. Body measurement is the piece that's still analog. FitXpress fills that gap: 96-97% accuracy vs manual measurements, 45 seconds, API integration. For Bupa Australia: a digital measurement layer that completes the virtual care experience. 10 minutes to walk through the integration?","Alexander — leaving this here. If remote body measurement API integration ever becomes relevant for Bupa Australia's product roadmap, I'm available."
,,Bupa Australia,Head of Data and AI Governance,,,"Cameron, digital product at Bupa Australia — most health insurers are layering digital services on top of analog measurement. Body data captured remotely closes that last gap.","Good to connect. Quick context: I'm from 3DLOOK — FitXpress generates 80+ verified body measurements and composition data from two photos, delivered via API.
Here's why this matters for Bupa Australia's digital transformation: verified body data is the clinical anchor that makes virtual health programs defensible. Without it, you're relying on member self-report — which introduces error and undermines program ROI measurement. FitXpress provides audit-ready body measurement data captured remotely. For a health insurer, that means you can prove that your digital wellness programs actually produce measurable physical outcomes — not just engagement metrics.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Cameron — specifically on the measurement gap. Bupa Australia has the digital infrastructure. What's missing is remote body measurement that's accurate enough for clinical use and simple enough for member adoption. FitXpress delivers both: 96-97% accuracy vs manual measurements, 45 seconds. 15-minute demo?","Cameron — won't keep going. If verified body measurement as a digital health capability comes up at Bupa Australia, happy to show how it works."
,,Medibank,"Group Executive, Chief Financial Officer & Group Strategy",,,"Mark, Medibank preventive health — Australia's health insurers are competing on wellness program engagement. The differentiator: showing members real, visible progress they can track.","Thanks for connecting. I'm from 3DLOOK — FitXpress captures 80+ body measurements, body composition, and a 3D body model from two smartphone photos in 45 seconds.
For Medibank's preventive health programs, the member engagement challenge is real: people sign up, do a few check-ins, then disappear. The problem isn't motivation — it's that progress feels invisible. A scale number changes slowly. A waist measurement tape is awkward. FitXpress changes the feedback loop: members take two photos on their phone every 30 days, and get a 3D body model showing exactly where their body changed — side by side with their previous scan. 96-97% accuracy vs manual measurements, full body composition data. The Yazen case study proves the retention impact: 34,000 scans in 2025, and the side-by-side 3D visualization is their #1 retention feature.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Mark — a member engagement thought. The insurers winning on retention are the ones giving members visible proof of their health progress. FitXpress delivers that: two photos, 45 seconds, 3D progress visualization. For Medibank wellness programs: higher completion rates, stronger member loyalty. 15 minutes to see the member experience?","Mark — last note. If adding visual progress tracking to Medibank's member health programs ever becomes a priority, I'm available."
