#|Company name|HQ country|Market|Segment|Why wrist = must|Pain Score|Funding / revenue|Funding score|Website|E-com type|Last media mention|Coverage score|Priority score|Audit status|Notes / flags
45|Maurice Lacroix|Switzerland|Luxury|Luxury watch|Aikon collection with integrated bracelet (key model); Masterpiece line with bracelets; bracelet sizing critical for Aikon's success|3|DKSH is public (SIX Swiss Exchange); Maurice Lacroix is a subsidiary; brand was put for sale in 2015 but remains with DKSH (https://en.wikipedia.org/wiki/Maurice_Lacroix)|2|https://www.mauricelacroix.com/|Multi-channel|Maurice Lacroix AIKON Venturer 38mm — Our Man On The Ground Travel, 2025-2026 (https://omotgtravel.com/watches/maurice-lacroix-aikon-venturer-38mm/)|1|6|FILTER PASS: Aikon integrated bracelet = high pain; DKSH public parent but small sub-brand|Aikon is the breadwinner for ML; integrated bracelet makes wrist fit critical
46|Corum|Switzerland|Luxury|Luxury watch|Admiral's Cup with metal bracelets; Bubble and Golden Bridge collections; bracelet-sizing for flagship Admiral line|2|Citychamp revenue HKD 1.59B (~$204M) in 2024; Corum revenue ~$20M including Eterna (https://www.hodinkee.com/articles/corum-watch-brand-back-in-swiss-hands-after-management-buyout)|2|https://www.corum-watches.com/|Varies|Corum Watch Brand Back In Swiss Hands After Management Buyout — Hodinkee, Apr 2025 (https://www.hodinkee.com/articles/corum-watch-brand-back-in-swiss-hands-after-management-buyout)|2|6|FILTER EDGE CASE: Just went private via MBO; moderate trade press coverage|Ownership transition creates uncertainty; Admiral bracelet fit is relevant
47|Eterna|Switzerland|Luxury|Luxury watch|Heritage brand with metal bracelets; Eternity and Kontiki collections; bracelet-fit important for classic models|2|Citychamp revenue HKD 1.59B in 2024; Eterna is a small part of this group (https://stockanalysis.com/quote/hkg/0256/revenue/)|2|https://www.eterna.com/|Varies|No watch-specific coverage found (2025-2026)|1|5|FILTER EDGE CASE: Public parent (HK listed) but tiny revenue contribution; minimal coverage|Citychamp focusing on Chinese market; Eterna heritage has potential
48|NOMOS Glashütte|Germany|Luxury|Luxury watch|Tangente, Metro, Club — mostly leather/cordovan straps; some bracelet models (Sport); minimalist design — fit matters for aesthetic|2|Revenue estimated ~$4.4M (prospeo.io); independent manufacture ~300 employees (https://prospeo.io/c/nomos-glashutte-revenue)|1|https://nomos-glashuette.com/|Direct e-com|NOMOS Glashütte wins the iF Design Award 2026 — Timekeepers Club, Mar 2026 (https://timekeepers.club/articles/industry-news/nomos-glashutte-wins-the-if-design-award-2026)|2|5|FILTER PASS: Independent with strong design DNA; global reach but small revenue|NOMOS opened Shanghai lounge in 2026 — international expansion
49|Baume & Mercier|Switzerland|Luxury|Luxury watch|Riviera with integrated bracelet (key model); Clifton with bracelet options; Riviera's 12-sided bezel + bracelet needs precise fit|3|Richemont Specialist Watchmakers €3.28B in 2024; Baume & Mercier is entry-luxury within Richemont (https://www.statista.com/statistics/1377910/richemont-watchmakers-sales/)|3|https://www.baume-et-mercier.com/|Multi-channel|We explore Baume & Mercier's Watches & Wonders 2025 releases with new CEO Michael Guenoun - Time+Tide, May 2025 - https://timeandtidewatches.com/baume-mercier-collection-overview-watches-wonders-2025/|1|7|FILTER PASS: Riviera integrated bracelet = very high pain; Richemont scale but low standalone coverage|Riviera is the flagship; similar integrated-bracelet fit challenge as other luxury sports watches
50|Chanel Watches|France|Luxury|Luxury watch|J12 ceramic with bracelet — precise fit needed for ceramic (cannot be easily adjusted post-sale); Boy.Friend and Première bracelet sizing|3|Chanel total revenue $18.7B in 2024; watches & fine jewelry ~10% = ~$1.87B (https://www.chanel.com/puls-img/1747810519727-20250520fy24resultspressreleasefinalwwpdf.pdf)|3|https://www.chanel.com/watches/|Direct e-com|Chanel Returned to Sales Growth in 2025, Buoyed by US Demand — Bloomberg, May 2026 (https://www.bloomberg.com/news/articles/2026-05-19/chanel-returned-to-sales-growth-in-2025-buoyed-by-us-demand)|3|9|FILTER PASS: Highest priority — ceramic bracelets can't be easily adjusted, huge scale, Bloomberg/Forbes coverage|J12 ceramic bracelet needs to be ordered in correct size; opened dedicated US watch flagship on Fifth Ave (2024)
51|Bulova|USA (parent: Japan)|Fashion|Accessible/fashion watch|Metal bracelet watches require link removal for sizing; leather straps need correct hole fit; online returns from wrong fit costing ~15-20% for watch e-comm|2|Citizen Watch Co. revenue $2.13B (TTM), market cap $3.34B — https://companiesmarketcap.com/citizen-watch/revenue/|3|https://www.bulova.com/|D2C + retail partners|Bulova Unveils Art Deco Pocket Watch For Its 150th Anniversary — Forbes, Mar 24, 2025 — https://www.forbes.com/sites/bhanuchopra/2025/03/24/bulova-unveils-art-deco-pocket-watch-for-its-150th-anniversary/|3|8|Qualified|FILTER PASS: Public parent Citizen Watch Co. ($2.13B), Forbes coverage, 150th anniversary generates media
52|Movado|USA (Swiss-made)|Fashion|Accessible/fashion watch|Swiss-made watches with metal bracelets need precise sizing; Museum dial design requires correct wrist fit for aesthetic; D2C returns from wrong fit|2|Movado Group revenue $653.4M FY2025 — https://companiesmarketcap.com/movado/revenue/|3|https://www.movado.com/|D2C + retail partners|Movado Group Inc. Announces Fourth Quarter and Fiscal Year 2025 Results — BusinessWire via Yahoo Finance, Apr 16, 2025 — https://finance.yahoo.com/news/movado-nyse-mov-reports-q3-120305759.html|3|8|Qualified|FILTER PASS: Public company NYSE:MOV, $653M revenue, covered by Yahoo Finance/Bloomberg/WSJ
53|MVMT|USA|Fashion|Accessible/fashion watch|D2C-first brand; minimalist designs with leather and metal bands; online returns from wrong wrist size are primary pain point for D2C watch brands|2|Parent Movado Group revenue $653.4M FY2025 — https://companiesmarketcap.com/movado/revenue/|3|https://www.mvmt.com/|D2C|MVMT Arc Automatic Watch Collection Review — Business Insider, 2018; limited recent major media beyond Movado Group earnings|2|7|Qualified|FILTER PASS: Subsidiary of public Movado Group; D2C model means sizing returns are critical pain point
54|Olivia Burton|UK|Fashion|Accessible/fashion watch|Women's fashion watches with delicate bracelets and mesh bands; precise wrist fit needed for aesthetic; jewelry-style sizing requirements|2|Parent Movado Group revenue $653.4M FY2025 — https://companiesmarketcap.com/movado/revenue/|3|https://www.oliviaburton.com/|D2C + retail partners|Limited major media; covered under Movado Group earnings reports; trade press in fashion/jewelry|1|6|Qualified|FILTER PASS: Subsidiary of public Movado Group; niche UK brand with limited standalone coverage
55|Ebel|Switzerland|Luxury|Luxury watch|Luxury Swiss watches with integrated bracelet designs; non-standard lug widths; precise wrist measurement critical for luxury segment where wrong fit = unacceptable|2|Parent Movado Group revenue $653.4M FY2025 — https://companiesmarketcap.com/movado/revenue/|3|https://www.ebel.com/|D2C + authorized dealers|Die neue Ebel Sport Classic 37 mm Automatic - WatchTime, 2025 - https://www.watchtime.net/brands/automatikuhren/ebel-sport-classic-37-mm-automatic-gruen|1|6|Qualified|FILTER PASS: Subsidiary of public Movado Group; luxury positioning means precise fit matters more
56|Concord|Switzerland|Luxury|Luxury watch|Luxury Swiss watches; high-end metal bracelets require professional sizing; wrong fit in luxury segment leads to high-cost returns and brand damage|2|Parent Movado Group revenue $653.4M FY2025 — https://companiesmarketcap.com/movado/revenue/|3|https://www.concord.ch/|Authorized dealers|No watch-specific coverage found (2025-2026)|1|6|Qualified|FILTER EDGE CASE: Legacy luxury brand under Movado Group; minimal recent market activity
57|Coach Watches|USA|Fashion|Accessible/fashion watch|Fashion watches with leather and metal bands; Coach brand customers expect perfect fit; returns from wrong sizing impact license economics|2|Watch operator Movado Group $653.4M FY2025; brand owner Tapestry Inc. $6.7B FY2024 — https://companiesmarketcap.com/movado/revenue/|3|https://www.coach.com/|D2C + retail + dept stores|Coach watches included in Movado Group portfolio; brand owner Tapestry has broad media coverage|2|7|Qualified|FILTER PASS: Licensed to public Movado Group; Coach brand (Tapestry) is $2.2B+ brand
58|HUGO BOSS Watches|Germany|Fashion|Accessible/fashion watch|Fashion watches; BOSS brand customers expect premium fit; metal bracelets need sizing; e-commerce returns from wrong fit|2|Watch operator Movado Group $653.4M FY2025; brand owner HUGO BOSS AG ~€4.3B ($4.7B) FY2024 — https://en.wikipedia.org/wiki/Hugo_Boss|3|https://www.hugoboss.com/|D2C + retail + dept stores|HUGO BOSS broadly covered in financial media (WSJ, Bloomberg, FT); watch segment within Movado Group reporting|3|8|Qualified|FILTER PASS: Licensed to public Movado Group; HUGO BOSS is €4.3B public company with major media presence
59|Lacoste Watches|France|Fashion|Accessible/fashion watch|Sport-fashion watches; silicone and metal bands; tennis/heritage positioning means active wear fit matters|2|Watch operator Movado Group $653.4M FY2025; brand owner Maus Frères private ~$6B+ — https://companiesmarketcap.com/movado/revenue/|3|https://www.lacoste.com/|D2C + retail + dept stores|Lacoste brand has broad media coverage; watch segment under Movado Group|2|7|Qualified|FILTER PASS: Licensed to public Movado Group; Lacoste owned by large private Maus Frères
60|Tommy Hilfiger Watches|USA|Fashion|Accessible/fashion watch|Fashion watches; Tommy Hilfiger brand broad appeal; metal and leather bands need sizing; D2C returns from wrong fit|2|Watch operator Movado Group $653.4M FY2025; brand owner PVH Corp. $8.65B FY2024 (Tommy Hilfiger ~$4.6-5B) — https://matrixbcg.com/blogs/how-it-works/pvh|3|https://www.tommy.com/|D2C + retail + dept stores|PVH/Tommy Hilfiger broadly covered in major financial media; watch segment via Movado Group|3|8|Qualified|FILTER PASS: Licensed to public Movado Group; Tommy Hilfiger is $4.6B+ brand under PVH (public)
61|Michele|USA|Fashion|Accessible/fashion watch|Women's luxury fashion watches; jewelry-style bracelets and straps; precise wrist fit critical for aesthetic appeal; high return sensitivity|2|Fossil Group revenue $1.14B FY2024 — https://companiesmarketcap.com/fossil-group/revenue/|3|https://www.michele.com/|D2C + dept stores|Part of Fossil Group portfolio; Fossil Group exit from smartwatch business covered by TechCrunch, The Verge, Gadgets360 (2024)|2|7|Qualified|FILTER PASS: Owned by public Fossil Group ($1.14B); niche women's luxury watch brand
62|Skagen|Denmark (USA parent)|Fashion|Accessible/fashion watch|Minimalist Danish design; mesh and leather bands; slim profile requires precise fit; D2C returns; semrush.com shows ~82K monthly traffic|2|Fossil Group revenue $1.14B FY2024 — https://companiesmarketcap.com/fossil-group/revenue/|3|https://www.skagen.com/|D2C + retail|Fossil to Exit Smartwatch Business Citing Strategic Reasons — Gadgets360, 2024 — https://www.gadgets360.com/wearables/news/fossil-exit-smartwatch-business-report-4952195|2|7|Qualified|FILTER PASS: Owned by public Fossil Group; Skagen Falster smartwatch line impacted by Fossil smartwatch exit
63|Zodiac|Switzerland (USA parent)|Luxury|Luxury watch|Swiss-made dive watches; metal bracelets need professional sizing; enthusiast market demands precise fit; niche but passionate audience|2|Fossil Group revenue $1.14B FY2024 — https://companiesmarketcap.com/fossil-group/revenue/|3|https://www.zodiacwatches.com/|D2C + authorized dealers|Trade press coverage in watch enthusiast blogs (Hodinkee, Worn & Wound); limited major financial media|2|7|Qualified|FILTER PASS: Owned by public Fossil Group; heritage Swiss dive watch brand with enthusiast following
64|Armani Exchange Watches|Italy (licensed to USA)|Fashion|Accessible/fashion watch|Youth-oriented fashion watches; metal and leather bands; fashion-forward customers expect perfect fit; D2C returns|2|Watch operator Fossil Group $1.14B FY2024 — https://companiesmarketcap.com/fossil-group/revenue/|3|https://www.armani.com/|D2C + retail + dept stores|Armani brand broadly covered; AX watches under Fossil Group portfolio; Giorgio Armani private ~$2B+ estimated revenue|2|7|Qualified|FILTER PASS: Licensed to public Fossil Group; Armani brand has strong global media presence
65|Diesel Watches|Italy (licensed to USA)|Fashion|Accessible/fashion watch|Bold oversized fashion watches; large case sizes need proper wrist fit to avoid looking disproportionate; metal bracelets need sizing|2|Watch operator Fossil Group $1.14B FY2024 — https://companiesmarketcap.com/fossil-group/revenue/|3|https://www.diesel.com/|D2C + retail + dept stores|Diesel brand covered in fashion media; watch segment via Fossil Group|2|7|Qualified|FILTER PASS: Licensed to public Fossil Group; Diesel is established fashion brand under OTB Group
66|DKNY Watches|USA|Fashion|Accessible/fashion watch|NYC fashion watches; metal and leather bands; department store focused; sizing for gift purchases critical|2|Watch operator Fossil Group $1.14B FY2024 — https://companiesmarketcap.com/fossil-group/revenue/|3|https://www.dkny.com/|D2C + dept stores|DKNY brand covered in fashion trade press; watch segment via Fossil Group|2|7|Qualified|FILTER PASS: Licensed to public Fossil Group; DKNY owned by G-III Apparel (public, ~$3B)
67|Emporio Armani Watches|Italy (licensed to USA)|Fashion|Accessible/fashion watch|Premium fashion watches; Italian design aesthetic demands perfect fit; metal bracelets need precise sizing; high-end positioning means returns are costly|2|Watch operator Fossil Group $1.14B FY2024 — https://companiesmarketcap.com/fossil-group/revenue/|3|https://www.armani.com/|D2C + retail + dept stores|Emporio Armani broadly covered in fashion/luxury media; EA Connected smartwatch line covered in tech press (The Verge, TechCrunch)|3|8|Qualified|FILTER PASS: Licensed to public Fossil Group; Emporio Armani is premium sub-brand with strong media coverage
68|Kate Spade New York Watches|USA|Fashion|Accessible/fashion watch|Feminine fashion watches; bracelet and leather bands; gift-purchase heavy means wrong size = high return rate; transitioning license operator|2|New operator Movado Group $653.4M FY2025; brand owner Tapestry ~$6.7B FY2024 — https://www.businesstoday.com.my/2026/07/16/a-new-chapter-begins-for-kate-spade-new-york-watches/|3|https://www.katespade.com/|D2C + retail + dept stores|A New Chapter Begins For Kate Spade New York Watches — Business Today, Jul 16, 2026 — https://www.businesstoday.com.my/2026/07/16/a-new-chapter-begins-for-kate-spade-new-york-watches/|2|7|Qualified|FILTER PASS: License transitioning from Fossil to Movado Group (both public); recent media coverage on the move
69|Michael Kors Watches|USA|Fashion|Accessible/fashion watch|Premium fashion watches; largest licensed watch brand for Fossil; metal bracelets need precise sizing; massive D2C and retail volume amplifies return costs|2|Watch operator Fossil Group $1.14B FY2024; brand owner Capri Holdings $3.47B FY2025 (Michael Kors ~68% = ~$2.36B) — https://www.capriholdings.com/news/news-details/2025/Capri-Holdings-Limited-Announces-Fourth-Quarter-and-Full-Year-Fiscal-2025-Results/default.aspx|3|https://www.michaelkors.com/|D2C + retail + dept stores|Michael Kors extensively covered in financial/fashion media (WSJ, Bloomberg, Forbes, Vogue, WWD); watch license renewal with Fossil covered by Fox Business|3|8|Qualified|FILTER PASS: Licensed to public Fossil Group; Michael Kors is $2.36B brand under public Capri Holdings
70|Tory Burch Watches|USA|Fashion|Accessible/fashion watch|Designer fashion watches; jewelry-inspired bracelets; premium positioning means exact fit expected; gift purchases amplify sizing issues|2|Watch operator Fossil Group $1.14B FY2024 — https://companiesmarketcap.com/fossil-group/revenue/|3|https://www.toryburch.com/|D2C + retail + dept stores|Tory Burch brand covered in fashion media (Vogue, WWD, Harper's Bazaar); watch segment via Fossil Group|2|7|Qualified|FILTER PASS: Licensed to public Fossil Group; Tory Burch is $1.5B+ private fashion brand
71|Skechers Watches|USA|Fashion|Accessible/fashion watch|Active lifestyle watches; silicone and rubber straps; sporty positioning means active wear fit for comfort; lower price point but volume-driven|2|Watch operator Fossil Group $1.14B FY2024; brand owner Skechers $8.25B FY2024 — https://footwearmagazine.com/skechers-history-ownership/|3|https://www.skechers.com/|D2C + retail + dept stores|Skechers brand extensively covered in business media (WSJ, Bloomberg, Fashion Dive); watch segment niche|2|7|Qualified|FILTER PASS: Licensed to public Fossil Group; Skechers is $8.25B public footwear giant
72|Titan Watches|India|Fashion|Accessible/fashion watch|India's largest watch brand; massive volume (~$550M watch segment); metal bracelets need sizing for Indian market; extensive retail network with in-store sizing; online growth drives return sensitivity|2|Titan Company revenue ~$10.5B FY2025; watch segment ₹4,576 Cr (~$550M) — https://www.cnbctv18.com/business/titan-expects-watch-biz-to-cross-billion-dollar-sales-mark-in-next-2-yrs-focus-on-premiumisation-ws-l-19798119.htm|3|https://www.titan.co.in/|D2C + 2000+ retail stores|Titan Projects $1 Billion Watch Sales by 2027 as Premiumisation Grows — Economic Times, Dec 22, 2025 — https://brandequity.economictimes.indiatimes.com/news/business-of-brands/titan-projects-1-billion-watch-sales-by-2027-as-premiumisation-grows/126109301|2|7|Qualified|FILTER PASS: Public company (NSE:TITAN), $10.5B revenue; watch segment targeting $1B; ET/CNBC coverage
73|Fastrack|India|Fashion|Accessible/fashion watch|India's #1 youth watch brand; affordable fashion watches; high volume; metal and leather bands; online-heavy sales channel makes sizing returns significant|2|Parent Titan Company revenue ~$10.5B FY2025 — https://www.cnbctv18.com/business/titan-expects-watch-biz-to-cross-billion-dollar-sales-mark-in-next-2-yrs-focus-on-premiumisation-ws-l-19798119.htm|3|https://www.fastrack.in/|D2C + retail|Covered under Titan Company earnings and Indian business press (ET, CNBC-TV18, Mint); youth brand focus|2|7|Qualified|FILTER PASS: Subsidiary of public Titan Company; #1 youth watch brand in India
74|Timex|USA (Netherlands HQ)|Fashion|Accessible/fashion watch|Iconic accessible watch brand; massive global volume; diverse product range (digital, analog, sports); metal bracelets need sizing; high e-commerce penetration drives return sensitivity|2|Timex Group estimated revenue $1.4B (private) — https://www.zippia.com/timex-group-usa-careers-41836/revenue/; Timex.com online revenue $114M (2025) — https://ecdb.com/resources/sample-data/retailer/timex|2|https://timex.com/|D2C + retail partners globally|"Noah's 2025 Timex Watch Is a Patek-ish $200 Dress Watch — Highsnobiety, 2025; also covered in GQ ""Best Watches of 2025""; watch blog reviews"|2|6|Qualified|FILTER PASS (scale exception): Large private company with estimated $1.4B revenue; strong brand recognition
75|GUESS Watches|USA (Swiss HQ for watches)|Fashion|Accessible/fashion watch|Fashion-forward watches; bold designs; metal bracelets and leather straps; D2C and dept store channels; brand owner is $3B public company|2|Brand owner Guess? Inc. revenue $3.0B FY2025 — https://stockanalysis.com/stocks/ges/revenue/; watch operator Sequel AG private|2|https://guesswatches.com/|D2C + dept stores|Guess? Inc. covered in major financial media (WSJ, Bloomberg, Yahoo Finance); watch segment separate but under brand umbrella|2|6|Qualified|FILTER PASS (scale exception): Brand owner Guess? Inc. is public with $3B revenue; watch operator Sequel AG is private
76|Versace Watches|Italy (brand) / Switzerland (watch licensee)|Luxury|Luxury|Luxury fashion watches sold D2C; bracelet sizing and fit critical for online conversion; integrated bracelet designs (Tolomeo, Greca) require precision sizing|2|Prada Group (HKEX:1913), public, $6.71B revenue (2025). Source: https://companiesmarketcap.com/prada/revenue/|3|https://www.versace.com/|Full D2C — watches listed with Add to Bag on versace.com|Versace Fall/Winter 2025 Watch Collection — WatchPro, Jan 2026. https://www.watchpro.com/tag/versace/|3|8|PASS|Brand owned by Prada Group (public HKEX:1913 since 2011). Watch license operated by Timex Group (private). D2C via versace.com. Versace acquired by Prada from Capri Holdings Apr 2025.
77|Ferragamo Watches|Italy (brand) / Switzerland (watch licensee)|Luxury|Luxury|Fashion watches with integrated bracelets and metal bands; F-80 line has non-adjustable integrated lugs; online sales require accurate wrist sizing to reduce returns|2|Salvatore Ferragamo S.p.A. (BIT:SFER), public, €977M revenue (2025). Source: https://group.ferragamo.com/resource/blob/1130322/d04225d69b6c1fa48fda96e286244079/2025-10-23-press-release-9m-2025-data.pdf|3|https://www.ferragamo.com/|Full D2C — watches with Add to Cart on ferragamo.com, free shipping|Ferragamo confirms full-year revenue decline — WorldFootwear, Mar 2026. https://www.worldfootwear.com/news/ferragamo-confirms-fullyear-revenue-decline-and-discloses-lower-profits/11337.html|3|8|PASS|Brand owner Salvatore Ferragamo S.p.A. is public (BIT:SFER). Watches sold D2C on ferragamo.com. Watch manufacturing licensed to Timex Group (private).
78|Bremont|United Kingdom|Luxury|Luxury|Aviation/military watches with integrated bracelet designs (Supernova, MB series); bracelet sizing critical for online D2C sales; most models use standard lugs but bracelet fit remains key|2|Raised $59M (£48.4M) from Bill Ackman & Hellcat LP, Jan 2023. Valued ~£100M. Source: https://www.bloomberg.com/news/articles/2023-01-23/billionaire-ackman-invests-in-bremont-in-boost-for-uk-watchmaker|2|https://www.bremont.com/|Full D2C — /shop, /cart, 3-year 0% finance|Nick English appointed Executive Chairman at Moke International — Automotive.bg, 2026. https://automotive.bg/industry-news/nick-english-co-founder-of-bremont-watches-appointed-new-executive-chairman-at-moke-international/|3|7|PASS|Meets $20M+ funding threshold. D2C confirmed with cart/checkout. Also covered by Robb Report, Boss Hunting. Ex-MoD supplier (~30% of revenue from military).
