#,Segment,Company name,Audit status,HQ country,Market,Segment,Why wrist = must,Pain Score,Funding / revenue,Funding score,Website,E-com type,Last media mention = title + source link with anchor,Coverage score,Priority score,Notes / flags
64.0,Smart jewelry & tech accessories,COSMO Technologies,Qualified,"USA (Denver, CO)",US,Smart jewelry & tech accessories — Kids safety smartwatch,"100% of revenue from kids smartwatches. Wrist is sole product. Fit critical for child safety (HaloGPS, SOS, parent controls).",3.0,"NOT FOUND (private, 11-50 employees)",1.0,https://cosmotogether.com,DTC,"COSMO JrTrack 5 Breaks New Ground for Kids Smartwatches with HaloGPS — PR Newswire, Jul 2025",2.0,6.0,Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Denver startup. JrTrack 5 launched Jul 2025 with HaloGPS chip (92% faster location lock). Award-winning. Partnered with The Week Junior.
65.0,Smart jewelry & tech accessories,invisaWear,Qualified,USA,US,Smart jewelry & tech accessories — Safety jewelry bracelet,"Smart safety jewelry — bracelets, necklaces, keychains with hidden Bluetooth panic buttons. Bracelets and fitness bands are wrist-worn. Double-press sends GPS location to emergency contacts and 911. Wrist is a primary form factor for the safety jewelry line.",3.0,https://getlatka.com/companies/invisaWear_Technologies,1.0,https://invisawear.com,B2C,"invisaWear Review 2026: Does This Panic Button Jewelry Work? — GadgetShall, June 13, 2026",2.0,6.0,Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Founded 2016 by Rajia Abdelaziz and Raymond Hamilton. UMass Lowell DifferenceMaker winner. Forbes 30 Under 30 (2024). $45M valuation. 8 employees. ADT partnership. Strong DTC eCommerce growth (+20-50% YoY). Personal safety jewelry niche.
66.0,Smart jewelry & tech accessories,SafeWatch France,Qualified,France,EU / UK / EEA,Smart jewelry & tech accessories — Kids/senior smart wrist,"SafeWatch produces connected watch-phones for seniors worn on the wrist; features SOS button, fall detection, geolocation, health tracking, two-way calling and video calls; designed as autonomous phone-watch",3.0,"NOT FOUND (private, small company)",1.0,https://www.safewatchfrance.fr,DTC,"SafeWatch, la montre santé connectée qui peut sauver la vie — Entreprendre.fr, Dec 9, 2024",2.0,6.0,"Scores recalculated from original priority 4: pain 2->3, funding 1->1, coverage 1->2. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. French company founded by a senior couple. Products: SafeWatch Care (for seniors, SOS, fall detection, geolocation, health) and SafeWatch Smart (for adults, SOS + connected features). Also has SafeWatch SW7 for lone worker safety (PTI/DATI). Small company with limited corporate info. Featured in French entrepreneur media. Appears to be a micro-business."
67.0,Smart jewelry & tech accessories,TickTalk Tech,Qualified,"USA (Brea, CA)",US,Smart jewelry & tech accessories — Kids safety smartwatch,"100% of revenue from kids smartwatches. Wrist is sole product. Fit critical for child safety (AI SmartPin GPS, SOS calling). Trusted by 300K+ families.",3.0,"NOT FOUND (private, unfunded, est. <$10M)",1.0,https://www.myticktalk.com,"DTC, Marketplace (Amazon)","TickTalk 5 Kids Smart Watch: AI-Driven SmartPin GPS, 300K+ Families — TickTalk Official, 2025",2.0,6.0,"Scores recalculated from original priority 5: pain 3->3, funding 1->1, coverage 1->2. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Founded 2016. No external funding. TickTalk 5 with AI SmartPin GPS. Plans from $9.99/mo. Amazon + DTC."
68.0,Smart jewelry & tech accessories,CALMEAN,Qualified,Poland,EU regional (Poland/Germany),Smart jewelry & tech accessories — Senior safety watch,"Kids smartwatches (CALMEAN EASY, GO, Sport, NEMO 2) and GPS locators are the entire product line — wrist-worn devices for child safety and parental communication. Also offers pet/asset GPS trackers. Wrist devices are the primary offering.",3.0,NOT FOUND,1.0,https://www.calmean.com,B2C,"CALMEAN — Polska marka rozwiązań dla bezpieczeństwa — Empik Official Store, 2026",1.0,5.0,"Original status: Seed-list exception. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Polish brand founded 2015. Product range: kids smartwatches, GPS trackers for pets/luggage, parental control phone app. Sold via Empik, Allegro, Amazon.de. No known external funding. Regional (Poland/Germany). Budget-friendly positioning (~109-240 PLN)."
69.0,Smart jewelry & tech accessories,KLOKI,Qualified,Czech Republic,EU regional (Czech/Slovak market),Smart jewelry & tech accessories — Kids safety smartwatch,"KLOKI children's GPS smartwatch IS the entire product — waterproof wrist-worn device with secure calling, BTS/GPS/Wi-Fi localization. Czech-developed app. Wrist IS the sole product category.",3.0,NOT FOUND,1.0,https://kloki.cz,B2C,"KLOKI — Kids' smart watches: Safety and freedom for your children — Company Website, 2026",1.0,5.0,"Original status: Seed-list exception. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Czech Republic-based, born from parental need. No known external funding. Regional focus (Czech/Slovak market). 30-day return policy. Small independent brand. Localized Czech app. Strong local market fit but limited scale."
70.0,Smart jewelry & tech accessories,KUUS,Qualified,Netherlands,EU / UK / EEA,Smart jewelry & tech accessories — Senior fall-detection watch,"KUUS produces GPS alarm watches (S2 model) worn on the wrist for seniors, featuring SOS button, fall detection, heart rate monitoring, and GPS tracking",3.0,NOT FOUND (private small business),1.0,https://kuus.shop,"DTC, Marketplace (Bol.com, Amazon)","KUUS. S2 Alarm Watch with Fall Detection — active product listing on Bol.com, 2025-2026",1.0,5.0,"Scores recalculated from original priority 3: pain 1->3, funding 1->1, coverage 1->1. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Dutch brand specializing in GPS watches, spy cameras, and security products. Senior alarm watch S2 is main wearable product. Features: fall detection, SOS button, 4G SIM, GPS tracking, heart rate monitor, medication reminders. No subscription required. Sold via Bol.com and Amazon. Small company with limited corporate information."
71.0,Smart jewelry & tech accessories,Onsenior,Qualified,Czech Republic,EU / UK / EEA,Smart jewelry & tech accessories — Senior safety watch,"Onsenior One is a 4G smartwatch designed specifically for seniors, worn on the wrist; features SOS button, fall detection, GPS location, and health monitoring",3.0,"NOT FOUND (private, likely small)",1.0,https://onsenior.cz,DTC,"Onsenior One — smartwatch for seniors (company website, active 2025-2026)",1.0,5.0,"Scores recalculated from original priority 3: pain 1->3, funding 1->1, coverage 1->1. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Czech Republic-based company. Single product: Onsenior One 4G smartwatch for seniors. Features: SOS button, fall detection, GPS tracking, health monitoring, simple UI. Very limited public company information. Likely a small or micro business."
72.0,Medical wearables,Huawei Health (Watch D / Watch D2),Needs verification,China,Global market,Wrist BP Monitor (cuff-based smartwatch),Watch D2 has a 26 mm inflatable airbag built into the wrist strap for 24h ambulatory BP monitoring. Incorrect strap positioning directly affects reading accuracy. Measures BP via oscillometric cuff inflation.,3.0,"Part of Huawei Technologies — private, ~$100B+ revenue. Source: https://consumer.huawei.com",3.0,https://consumer.huawei.com,B2C retail,[HUAWEI Watch D2 available for £349.99 — gadgetmatch.com — 2025](https://www.gizmochina.com/2025/09/22/huawei-watch-d2-blue-edition-uk-launch/); ixbt.com in-depth review — 2025,2.0,8.0,FILTER EDGE CASE: Passed. NOT on exclusion list. Watch D/D2 is CE medical in EU. Massive scale. Huawei has wrist BP with real inflatable cuff.
73.0,Medical wearables,Movano Health (NASDAQ: MOVE),Needs verification,"USA (Pleasanton, CA)","Global (women's health, chronic disease monitoring)",Wrist-worn cuffless blood pressure device (clinical trials) + Evie Ring (smart ring),Cuffless BP prototype uses RF/millimeter-wave sensors requiring consistent wrist placement for PPG-based blood pressure estimation through the radial artery. Proper band fit and sensor alignment critical for accuracy — loose fit degrades signal quality.,3.0,"PUBLIC (NASDAQ:MOVE). FY2024 revenue minimal (pre-revenue on wrist BP, early D2C for Evie Ring). Market cap ~$30M. Operating loss ~$7.4M Q3 2024. Raised capital through public market. 50+ employees.",2.0,https://movanohealth.com,D2C (Evie Ring) + B2B clinical (wrist BP),"Movano Health's Proprietary Cuffless Blood Pressure Device Once Again Achieves Accuracy Commensurate with the FDA's Requirements — StockTitan — Apr 22, 2025 — https://www.stocktitan.net/news/MOVE/movano-health-s-proprietary-cuffless-blood-pressure-device-once-1hyxj9gq36zj.html",2.0,7.0,"FILTER PASS: Public (NASDAQ:MOVE). Cuffless wrist BP prototype achieved MAD 4.9 mmHg (surpasses FDA 7 mmHg requirement) in 81-participant clinical study Apr 2025. 12 mmWave antennas for enhanced data. Consumer device anticipated within months pending pivotal trials. Also developing cuffless glucose monitoring via RF. Primary commercial product is Evie Ring (smart ring, not wrist) for women's health. Wrist BP device is clinical-stage, not yet commercialized."
74.0,Sports & outdoor wearables,LifeQ,Needs verification,"South Africa (with offices in USA: Atlanta, GA and Netherlands)",US/EU market likely; verify active online sales,Sports & outdoor — B2B biometrics / wristband,"Medical-grade biometric monitoring (150+ biomarkers) requires precise, continuous sensor contact on wrist for clinical accuracy.",3.0,"N/A
 https://growjo.com/company/LifeQ",2.0,https://www.lifeq.com,"B2B (licenses biometrics platform to wearable OEMs like Fossil, TAG Heuer, Montblanc, Suunto, Xiaomi)","LifeQ and BlueZone Launch Advanced Wearable Health Tech in Mainland China — Access Newswire, May 7, 2025 — https://www.accessnewswire.com/newsroom/en/biotechnology/lifeq-and-bluezone-launch-advanced-wearable-health-tech-in-mainland-china-1022289",2.0,7.0,"Original status: Qualified.
 B2B sensor/platform fit is plausible but needs customer/product-level confirmation for sports & outdoor."
75.0,Sports & outdoor wearables,Rockley Photonics,Needs verification,"United Kingdom / United States (Pasadena, CA; Altrincham, UK)",US/EU market likely; verify active online sales,Sports & outdoor — B2B sensor platform,"Photonics-based medical-grade biomarker sensing (glucose, BP, hydration, alcohol, lactate) requires precise wrist contact for clinical accuracy.",3.0,"$21.0M (annual)
 https://www.zippia.com/rockley-photonics-careers-1419712/revenue/",2.0,https://rockleyphotonics.com,B2B (licenses sensor platform to healthcare/device OEMs; direct Bioptx band planned),"Rockley Photonics Begins Sampling Bioptx Biosensing Band and Platform — PA Media / Business Wire, 2025 — https://pressreleasehub.pa.media/article/rockley-photonics-begins-sampling-bioptx-biosensing-band-and-platform-7194.html",2.0,7.0,"Original status: Qualified.
 B2B sensor/platform fit is plausible but needs customer/product-level confirmation for sports & outdoor.
 Coverage score adjusted from 3 to 2 under revised Tier 1/trade rules.
 Funding score adjusted from 3 to 2 based on stated revenue/funding."
76.0,Sports & outdoor wearables,ATMOS,Needs verification,Taiwan,Global / US-EU online or retail presence indicated,Sports & outdoor — Dive computer watch,Dive computer wrist retention is safety-critical underwater. Note per task: score Pain=3 for dedicated dive watches.,3.0,"NOT FOUND (private Taiwanese company, revenue not publicly disclosed)
 https://www.crunchbase.com/organization/atmos-co-ltd",1.0,https://www.atmos.app,Retail (distributor/retail partner network globally),"2025 ATMOS Mission 3 Overview on the Excellent Dive Computer — YouTube / Dive Computer Reviews, 2025 — https://www.youtube.com/watch?v=HRXeVAtSjXw",2.0,6.0,"Original status: Qualified.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule."
77.0,Sports & outdoor wearables,DiveSystem,Needs verification,Italy,Global / US-EU online or retail presence indicated,Sports & outdoor — Dive computer company,"Dive computer wrist retention is safety-critical underwater, especially for military/rescue applications. Note per task: score Pain=3 for dedicated dive watches.",3.0,"NOT FOUND (small private Italian manufacturer)
 https://www.divesystem.com/en/content/10-company",1.0,https://www.divesystem.com,Retail (dealer network) + limited DTC,"Italian Dive Equipment Company DIVESYSTEM Arrives in the United States — DiveNewswire, November 10, 2024 — https://www.divenewswire.com/italian-dive-equipment-company-divesystem-arrives-in-the-united-states/",2.0,6.0,"Original status: Qualified.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule.
 Coverage score adjusted from 1 to 2 under revised Tier 1/trade rules."
78.0,Sports & outdoor wearables,Ratio / iDive,Needs verification,Italy,Global / US-EU online or retail presence indicated,Sports & outdoor — Dive computer brand,Dive computer wrist retention is safety-critical underwater. Note per task: score Pain=3 for dedicated dive watches.,3.0,"NOT FOUND (private Italian company, revenue not publicly disclosed)
 https://www.ratio-computers.com/en/",1.0,https://www.ratio-computers.com,Retail (dealer network) + DTC (website store),"Hands-on Review of Ratio iDive Color Dive Computer — India Scuba Network, July 25, 2025 — https://indiascubanetwork.com/hands-on-review-of-ratio-idive-color-dive-computer/",2.0,6.0,"Original status: Qualified.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule."
79.0,Sports & outdoor wearables,SEAC,Needs verification,Italy,Global / US-EU online or retail presence indicated,Sports & outdoor — Dive / freedive watch,Dive computer wrist retention is safety-critical underwater. Note per task: score Pain=3 for dedicated dive watches.,3.0,"NOT FOUND (private Italian company, revenue not publicly disclosed)
 https://discovery.patsnap.com/company/seacsub/",1.0,https://www.seacsub.com,Retail (dealer network) + DTC (website),"SEAC has unveiled its latest dive computer: the SEAC Screen — DeeperBlue.com, 2025 — https://www.deeperblue.com/check-out-seacs-new-screen-console-wrist-mounted-computer/",2.0,6.0,"Original status: Qualified.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule."
80.0,Sports & outdoor wearables,Suunto,Needs verification,Finland,Global / US-EU online or retail presence indicated,Sports & outdoor — Outdoor / trail / sport / dive,"Suunto sports watches require secure wrist fit for accurate GPS, heart rate, and VO2max measurements; designed for outdoor endurance activities where sensor accuracy is critical",3.0,"NOT FOUND (Liesheng is private)
 https://tracxn.com/d/companies/suunto/__f73RCcrrLp9OlsVahobsyARFpWo71T6eSY26j5rm4Kk",1.0,https://www.suunto.com,"DTC, Retail","Suunto Vertical 2 In-Depth Review: Its Got a Flashlight! — DC Rainmaker, Sep 30, 2025
https://www.dcrainmaker.com/2025/09/suunto-vertical-2-in-depth-review-flashlight.html",2.0,6.0,"Acquired by Chinese company Liesheng from Amer Sports in 2022. HQ remains in Vantaa, Finland. Strong in dive computers, compasses, and outdoor watches. Recent launches: Suunto Race 2, Vertical 2.
 Original status: Qualified.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule.
 Funding score adjusted from 2 to 1 based on stated revenue/funding."
81.0,Sports & outdoor wearables,Voice Caddie,Needs verification,South Korea (Seoul),Global / US-EU online or retail presence indicated,Sports & outdoor — Golf GPS watch,Golf GPS watches must stay securely fitted for round tracking and on-wrist usability; poor fit increases returns and unreliable use.,3.0,"NOT FOUND
 NOT FOUND",1.0,https://voicecaddie.com/,DTC + Amazon + Retail,"Voice Caddy's Neuron R21 Challenges Garmin in Running Market — Chosun, September 2025 — https://www.chosun.com/english/national-en/2025/09/23/KIZRV73IPFBWRCNYJZAEQKNBFE/",2.0,6.0,"Original status: Qualified.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule.
 Funding score adjusted from 2 to 1 based on stated revenue/funding."
82.0,Corporate wellness & Remote Patient Monitoring,ClearPath RPM,Needs verification,United States,US/EU active or B2B platform indicated,Corporate wellness & RPM — RPM watch + clinician dashboard,"ClearPath RPM Watch is the core product — a wrist-worn device tracking HR, SpO2, temperature, and fall detection with 24/7 clinical-grade vitals streaming to care teams.",3.0,"NOT FOUND
 NOT FOUND",3.0,https://www.clearpathrpm.org,B2B,NOT FOUND (limited public presence),1.0,7.0,"Very limited public information. .org domain, appears to be a small RPM provider. No revenue, funding, or media data found. The RPM watch IS the product but company scale is unverifiable. Wrist-device relevance is present, but funding/revenue, media, or company-scale evidence needs verification. Funding score adjusted 1→3."
83.0,Corporate wellness & Remote Patient Monitoring,CardiacSense,Needs verification,Israel,Needs verification,Corporate wellness & RPM — Medical watch + doctor portal,"CSF-3 medical watch IS the entire product — wrist-worn device for continuous heart rate, SpO2, arrhythmia detection (AFib). FDA-cleared. No other product lines.",3.0,"None (independent)
 NOT FOUND",1.0,https://www.cardiacsense.com,B2B,"CardiacSense Valuation Drops Nearly 85% in One Year — TechTime News, July 4, 2025",2.0,6.0,"Received FDA clearance for medical watch. However, 85% valuation drop in 2025 and Garmin/Coros patent settlement suggest financial distress. High-risk prospect but strong wrist-device fit. Wrist-device relevance is present, but funding/revenue, media, or company-scale evidence needs verification. Coverage score adjusted 1→2 under revised Tier 1 rules."
84.0,Smart jewelry & tech accessories,boAt (Imagine Marketing),Needs verification,India (Mumbai),India primary; US/EU active sales need verification,Smart jewelry & tech accessories — Other,India's #1 wearable brand (29.2% market share). Smartwatches are core to revenue alongside audio. IPO-bound shows strong institutional backing.,3.0,"Rs 3,073 crore (~$370M, FY2025)
 https://yourstory.com/2025/10/boat-parent-imagine-marketing-returns-to-profit-in-fy25",3.0,https://www.boat-lifestyle.com/collections/smart-watches,"DTC, Marketplace (Amazon, Flipkart)","boAt Launches Chrome Endeavour AI-Powered Smartwatch — Gizmochina, Sep 2025",2.0,8.0,"Original status: Qualified. Scores recalculated from original priority 8: pain 3->3, funding 2->3, coverage 3->2. Audit flag: verify active US/EU sales, current product availability, or source strength before moving to Qualified. India's largest wearable brand. Returned to profitability in FY25. Raised Rs 500Cr from Warburg Pincus. IPO filed. First AI smartwatch Chrome Endeavour Sep 2025."
85.0,Smart jewelry & tech accessories,imoo,Needs verification,China,Asia/global expansion indicated; US/EU sales need verification,Smart jewelry & tech accessories — Kids smart safety watch,Kids' smartwatch phone IS the entire product — a wrist-worn 4G video/voice call watch with GPS for children aged 4-15. World's leading kids smartwatch brand by volume. No other product lines.,3.0,BBK Electronics: ~$40B+ estimated (private),3.0,https://www.imoo.com,B2C,"Imoo challenges Samsung in global smartwatch market with Asia expansion — Chosun Biz, November 10, 2025",2.0,8.0,"Original status: Qualified. Audit flag: verify active US/EU sales, current product availability, or source strength before moving to Qualified. Related BBK-family brand retained separately because the product brand and target account are distinct. Founded 2010 as BBK subsidiary. Massive parent company backing (BBK's Oppo/Vivo are top-5 global smartphone makers). GDPR-compliant. Leading kids smartwatch brand globally, especially strong in Asia. Deep resources through BBK ecosystem."
86.0,Smart jewelry & tech accessories,Noise (Nexxbase),Needs verification,India (Gurugram),India primary; US/EU active sales need verification,Smart jewelry & tech accessories — Other,Top-3 Indian wearable brand. Smartwatches are the core revenue driver. Bootstrapped to ~$460M valuation.,3.0,"~Rs 2,000 crore (~$240M, FY23 peak); FY25 declined ~24% to est. Rs 1,500Cr
 https://www.business-standard.com/companies/news/noise-reports-rs-2-000-crore-revenue-in-fy23-with-100-growth-yoy-123051200460_1.html",3.0,https://www.gonoise.com,"DTC, Marketplace (Amazon, Flipkart)","Noise Luna Ring Gen 2 Review: Making Some Waves — Wareable, 2025-2026",2.0,8.0,"Original status: Qualified. Scores recalculated from original priority 7: pain 3->3, funding 2->3, coverage 2->2. Audit flag: verify active US/EU sales, current product availability, or source strength before moving to Qualified. Bootstrapped for 9 years. $460M valuation. Luna Ring Gen 2 launched. Faced Indian smartwatch market contraction. Net worth Rs 3,900Cr."
87.0,Smart jewelry & tech accessories,Ava,Needs verification,Switzerland,EU / UK / EEA,Smart jewelry & tech accessories — Women's health wrist wearable,"Ava Fertility Tracker bracelet IS the entire product — a wrist-worn sensor bracelet for tracking fertile windows. FDA-cleared. Wrist measurement (skin temp, HR, HRV, RR) is the core technology. Sole product is wrist-worn.",3.0,"N/A (FemTec raised $38M but struggled)
 https://rocketreach.co/ava-women-acquired-by-femtec-profile_b5499d96f693c8be",2.0,https://www.avawomen.com,B2C,"Ava Closes $30 Million Series B Round and Announces 10,000 Pregnancies — PRNewswire, May 30, 2018",2.0,7.0,"Audit flag: verify active US/EU sales, current product availability, or source strength before moving to Qualified. Founded 2014 in Zurich. Raised $42.43M total (4 rounds). Acquired by FemTec Health in 2021. Parent FemTec raised $38M but faced layoffs, vendor non-payment, and debt issues by 2022 — acquisition may be distressed. FDA-cleared fertility wearable. Strong clinical validation."
88.0,Smart jewelry & tech accessories,Mobvoi,Needs verification,China (Beijing),Global / online marketplace,Smart jewelry & tech accessories — Smart wrist device,TicWatch was flagship product line with dual-display and long battery. Wrist devices were primary consumer offering. TicWatch discontinued Dec 2025.,3.0,"CNY 323M (~$44M, FY2025)
 https://stockanalysis.com/quote/hkg/2438/revenue/",2.0,https://www.mobvoi.com,"DTC, Marketplace (Amazon)","Mobvoi TicWatch Seems Dead After Over a Dozen Wear OS Watches — 9to5Google, Dec 2025",2.0,7.0,"Original status: Seed-list exception. Audit flag: verify active US/EU sales, current product availability, or source strength before moving to Qualified. Public (HKG: 2438). Revenue declined 17.2% YoY. Pivoting to AI/AIGC software. TicWatch products pulled from market Dec 2025. Seed-list exception due to wrist product discontinuation."
89.0,Smart jewelry & tech accessories,myFirst,Needs verification,Singapore,Singapore/global DTC; US/EU sales need verification,Smart jewelry & tech accessories — Kids wrist communication,"Fone R2 watch phone for kids is the flagship product — a wrist-worn 4G smartwatch with GPS tracking, video/voice calling, and eSIM. Available in 36 countries. Wrist device IS the core product line.",3.0,https://www.straitstimes.com/business/companies-markets/s-pore-tech-start-up-myfirst-eyes-us-ipo-after-partnership-with-sgx-listed-fu-yu,2.0,https://myfirst.tech,B2C,"S'pore tech start-up myFirst eyes US listing after tie-up with SGX-listed Fu Yu — The Straits Times, April 16, 2024",2.0,7.0,"Original status: Qualified. Audit flag: verify active US/EU sales, current product availability, or source strength before moving to Qualified. Singapore-based KidsTech startup founded 2018. Raised $12.1M pre-Series A. Valued at $20M. Partnership with SGX-listed Fu Yu ($75M over 5 years) for manufacturing. Eyeing US IPO. Strong kids' wrist wearable focus."
90.0,Smart jewelry & tech accessories,MedAlert,Needs verification,Australia (Victoria),Australia; US/EU sales need verification,Smart jewelry & tech accessories — Senior safety watch,"MedAlert produces medical alert watches worn on the wrist (PLUS model) as well as pendants; watch features fall detection, two-way emergency calling, real-time GPS positioning, and 100-hour battery life",3.0,NOT FOUND (private Australian company),1.0,https://medalert.io,"DTC, Retail","MedAlert PLUS Review 2026 — GPS Medical Alert Watch, Velextrics, 2026",2.0,6.0,"Original status: Qualified. Scores recalculated from original priority 5: pain 2->3, funding 2->1, coverage 1->2. Audit flag: verify active US/EU sales, current product availability, or source strength before moving to Qualified. Australian proprietary company, registered Oct 2008. Member of Assistive Technology Suppliers Australia (ATSA). Products: Personal Medical Alarm 4G and Medical Alert Watch (PLUS model). Features: GPS tracking, fall detection, two-way calling, health monitoring. Offers both watch and pendant form factors. Serves senior care market in Australia."
91.0,Smart jewelry & tech accessories,Pixbee,Needs verification,Australia,Australia/New Zealand; US/EU sales need verification,Smart jewelry & tech accessories — Kids safety smartwatch,"Pixbee Kids 4G / Pixbee Pro 4G / Pixbee Fit are all wrist-worn kids smartwatches — the entire product line. Features GPS tracking, Safe Zones, SOS calls, 2-way video calls. Wrist IS the entire business.",3.0,NOT FOUND,1.0,https://pixbee.com.au,B2C,"Best smartwatches for kids in Australia (2025) — SafeWise, 2025 (Pixbee named Budget Pick)",2.0,6.0,"Original status: Seed-list exception. Scores recalculated from original priority 5: pain 3->3, funding 1->1, coverage 1->2. Audit flag: verify active US/EU sales, current product availability, or source strength before moving to Qualified. Australian DTC brand. Budget positioning (from $69 AUD). No known external funding. Small team. Regional focus (AU/NZ). Also has India-registered entity Pixbee Lab LLP. Limited global presence. Good product-market fit for budget-conscious parents."
92.0,Medical wearables,YHE / BP Doctor,Fail,China,Global market,Wrist BP Monitor (inflatable cuff smartwatch),Dual inflatable cuff smartwatch. Cuffs must be over radial artery. Incorrect positioning or fit affects accuracy. Measures BP.,3.0,No VC funding raised (Tracxn confirms). Crowdfunding only (~HK$199K). Source: https://tracxn.com/d/companies/yhe-technology/__n26OHMiWbO0xPLRNnGtdtgr2KLc3XtFaTwbgS9FRVLQ,1.0,https://www.yhetechs.com,Both (D2C + B2B),YHE Leads Market of BP Smartwatch with BP Doctor MED — Portland News — https://www.portlandnews.net/news/271952822/yhe-leads-market-of-bp-smartwatch-with-bp-doctor-med,2.0,6.0,FILTER PASS: No VC funding (crowdfunding only). Series A and below. Exclude.
93.0,Sports & outdoor wearables,COROS,Fail,"China (Dongguan) / USA (Tustin, CA)",Global / US-EU online or retail presence indicated,Sports & outdoor — Running / triathlon / outdoor,"COROS support explicitly states: wearing the watch more snugly, but not excessively tight, on the wrist can minimize unnecessary movement for accurate HR; nylon band recommended for secure fit",3.0,"1.6M-0.4M estimated (private)
 https://www.konaequity.com/company/coros-wearables-inc-4391276444/",1.0,https://coros.com,"DTC, Retail","COROS APEX 4 In-Depth Review: A Hint of What Comes Next? — DC Rainmaker, Oct 15, 2025
 https://www.dcrainmaker.com/2025/10/coros-apex-4-series-depth-review-comes.html",2.0,6.0,"Fast-growing challenger to Garmin in endurance sports. Strong following among runners and ultramarathon athletes. Known for excellent battery life and rapid product iteration.
 Original status: Qualified.
 Excluded by Meta list: Garmin."
94.0,Medical wearables,PAUL HARTMANN / Veroval,Qualified,Germany,"Wrist blood pressure monitors, medical supplies, wound care, incontinence",Home healthcare devices (Veroval brand) within diversified medical products group,"Veroval offers cuffs in S, M, L sizes. Wrong cuff size can cause measurement errors, but Duo Control position sensing flags improper fit.",2.0,"PUBLIC (Stuttgart SWB:PHH2, Frankfurt). FY2025 revenue EUR 2.45B, adj. EBITDA EUR 277M. Market cap ~EUR 400M. Massive diversified medical products group.",3.0,https://www.veroval.info,B2C retail,Veroval duo control Blutdruckmessgerät available at pharmacies — [medipreis.de](https://www.medipreis.de/preisvergleich/veroval-duo-control-oa-blutdruckmessgeraet-l-1-st-paul-hartmann-ag-14128927) — 2025,2.0,7.0,"FILTER PASS: Public company (listed Stuttgart/Frankfurt). Veroval is the consumer brand of PAUL HARTMANN AG. BP monitors are a small portion of a EUR 2.45B diversified medical products business. Very stable, cash-rich parent. Wrist BP products available globally including EU, Middle East, Asia."
95.0,Medical wearables,Braun Healthcare / Kaz (Helen of Troy subsidiary),Qualified,"Germany / United States (Kaz USA HQ: Marlborough, MA; Braun brand licensed from P&G; Kaz Europe Sàrl in Switzerland)","Global (US, Europe, Asia, Middle East)","Wrist BP monitors, thermometers (ThermoScan), nebulizers, healthcare devices","ExactFit 1E universal cuff fits 8.6–16.5 in, but manual advises S/M or L/XL for best fit. Wrong cuff size leads to inaccurate readings.",2.0,Parent Helen of Troy: $1.9B annual revenue (FY2025). Health & Home segment (includes Braun/Kaz): ~$700M+. Kaz acquired for $260M in 2010. No separate funding for Braun Healthcare.,3.0,https://www.braunhealthcare.com,B2C retail,"[B. Braun Announces Significant Reduction of Greenhouse Gas Emissions with Renewable Energy Agreements](https://www.gulfoilandgas.com/webpro1/main/mainnews.asp?id=1110560) — May 4, 2026",2.0,7.0,"FILTER VERIFIED: Subsidiary of public company (NASDAQ:HELE). Global sales confirmed. Not on exclusion list. Highest priority score in batch (10). Strong brand equity (Braun) but wrist BP accuracy concerns are magnified by medical-brand trust. Brand is licensed, not owned — P&G retains Braun trademark ownership. Parent HELE under activist investor pressure in 2025-2026."
96.0,Medical wearables,Contec Medical Systems,Qualified,China,"Wrist blood pressure monitors, SpO₂, ECG, patient monitoring equipment",Medical diagnostic and monitoring equipment,ABPM70 wearable 24h ambulatory BP monitor with detachable cuff. Multiple cuff sizes available; wrong size causes inaccurate readings.,2.0,"PUBLIC (Shenzhen 300869.SZ). FY2024 revenue CNY 479.8M (~$66M), down 35.8% YoY from CNY 747M. Market cap ~CNY 2.5B. Revenue peaked at CNY 1.4B in 2020 (COVID demand).",2.0,https://www.contecmed.com,B2B,[CONTEC ABPM70 Ambulatory Blood Pressure Monitor](https://www.contecmed.com/productinfo/1168916.html) — contecmed.com — 2025,2.0,6.0,FILTER PASS: Public company (Shenzhen Stock Exchange 300869.SZ). Post-COVID revenue decline (from CNY 1.4B peak in 2020 to CNY 480M in 2024). Strong R&D in medical monitoring. International sales through distributors. WSJ and Reuters carry financial data. Wrist BP/pulse-ox products are key offerings alongside larger patient monitors.
