"#","Company name","HQ country","Market","Segment","Why wrist = must","Pain Score","Funding / revenue","Funding score","Website","E-com type","Last media mention = title + source link with anchor","Coverage score","Priority score","Notes / flags"
"34","Sejoy Biomedical","China","Wrist blood pressure monitors, blood glucose meters, uric acid meters, hemoglobin meters","Home-care in-vitro diagnostic and monitoring devices","Sejoy is an OEM/ODM manufacturer of home-care electronic medical products (blood glucose meters, lipid panel meters, hemoglobin monitors, fertility test systems). They do not manufacture wrist-worn wearables or blood pressure monitors. Focus is in-vitro diagnostics and point-of-care testing.","2","Private, no known VC funding. Alibaba profile lists annual revenue ~$13.3M. Founded 2002. ODM/OEM manufacturer with own DTC brand.","2","https://www.sejoy.com","B2B","Sejoy at MEDICA 2025 — Sejoy News — Nov 18, 2025 — https://www.sejoy.com/news/medica-2025-live-from-four-in-one-multi-functional-monitor-to-womens-health-black-technology-sejoy-ignites-the-global-medical-technology-feast-with-innovation/","1","5","FILTER FAIL: Private company with no known VC funding (not Series B+). Founded 2002 in Hangzhou. Primarily ODM/OEM manufacturer of IVD products (COVID-19 tests, blood glucose, etc.). Wrist BP is one of many product lines. DTC brand 'Sejoy' on Amazon with mixed reviews. 20+ years in manufacturing, but limited brand value or innovation differentiation."
"35","Kinetik Wellbeing","United Kingdom","UK + international (New Zealand via St John Ambulance partnership, select EU markets)","Wrist BP monitors + home health devices (thermometers, oximeters, blood glucose)","Universal wrist cuff (13.5-21.5cm) — one-size-fits-most design","1","PRIVATE UK company, founded 2006. 11-50 employees (LinkedIn). NO evidence of Series A/B/C funding on Crunchbase, CB Insights, or other platforms. Revenue not publicly disclosed; estimated <£10M based on company size. NHS supplier and Boots/Argos retail presence suggests moderate revenue but well below $100M threshold.","1","https://kinetikwellbeing.com","Both (D2C + B2B)","Self-help health market hits one million product sales for Kinetik Wellbeing — EMR Industry — https://www.emrindustry.com/self-help-health-market-hits-one-million-product-sales-for-kinetik-wellbeing/","2","4","FILTER FAIL: Private company with no evidence of Series B+ funding. Small UK company (11-50 employees). NHS partnership and 'Which? Best Buy' award give some trade media credibility. Wrist-cuff all-in-one design is innovative but company is too small for B2B enterprise consideration. Include for completeness."
"36","LAICA S.p.A.","Italy","Italy + EU + international (distributed in multiple countries under LAICA brand)","Wrist BP monitors + home health/filtration/kitchen appliances","Offers both arm and wrist blood pressure monitors with universal cuffs","1","PRIVATE Italian company, but acquired by Strix Group PLC (LON:KETL), a publicly traded UK company. Strix Group FY2024 total revenue: ~£144M. LAICA sits within Strix's Consumer Goods division. LAICA's standalone revenue estimated $50-100M range based on division contribution. LAICA publishes integrated ESG reports (FY2024). Strix market cap data available on FT.","2","https://www.laica.com","B2B","No major media mention in last 6 months; company news available at https://www.laica.com/en/news/","1","4","FILTER EDGE CASE: LAICA is private but owned by Strix Group PLC (public, LON:KETL). This provides public-company backing. Revenue estimated $50-100M (score 2). Low media visibility despite being part of public company. Wrist BP is one of many product categories (not core focus). Italian brand with EU distribution."
"37","American Diagnostic Corp / ADC","USA","Wrist BP monitors + professional diagnostic instruments (stethoscopes, thermometers, EENT)","Wrist Blood Pressure Monitor","ADC uses proprietary Size Guide marking system with multiple cuff sizes (adult, large); wrong size = risk of inaccurate readings","2","Est. $14.8M–$20.3M annual revenue; ~42–50 employees. Privately held, no VC funding, no institutional rounds.","2","https://www.adctoday.com","B2B","ADC Advantage line of digital blood pressure monitors launched — ADC Today — https://www.adctoday.com/","1","5","FILTER FAIL: Private US company, not public, no Series B+. No VC/PE backing. Founded ~1984. Core business is professional diagnostic instruments; wrist BP is a minor SKU. Low web traffic. No recent media coverage beyond product listings."
"38","Greater Goods","USA","Connected wrist BP + upper arm BP monitors (Bluetooth/app), consumer health devices","Connected Wrist Blood Pressure Monitor","Wide-Range Cuff (8.7-16.5"") with two size options available; adjustable but wrong size risk","2","Est. ~$5.6M annual revenue; ~56–60 employees. Privately held, bootstrapped. No VC funding found.","1","https://www.greatergoods.com","Both (D2C + B2B)","The 3 Best Blood Pressure Monitors for Home Use in 2026 — NYTimes Wirecutter — https://www.nytimes.com/wirecutter/reviews/best-blood-pressure-monitors-for-home-use/","2","5","FILTER FAIL: Private US company, not public, no Series B+. Bootstrapped. Strong consumer product reviews (Wirecutter 5x picks including 2026) but no institutional business/financial media coverage (no WSJ/Bloomberg/TC/Reuters). Wirecutter is trade/consumer review, not financial press."
"39","CA-MI","Italy","Wrist BP monitors + electromedical equipment (nebulizers, aspirators, pulse oximeters) for home-care","Wrist Blood Pressure Monitor","Wrist blood pressure monitors with universal cuff; one-size-fits-most design","1","Acquired by Protect Medical Holding (Borromin PE-backed) in September 2025. Pre-acquisition revenue undisclosed; estimated small-to-mid Italian manufacturer. Founded 1984.","1","https://www.ca-mi.eu","B2B","No major English media mention in last 6 months; company news at https://www.ca-mi.eu/news/","2","4","FILTER FAIL: Acquired by PE-backed Protect Medical (Borromin funds) — not public, not independently Series B+. Parent is PE portfolio company, not publicly traded. Wrist BP is one of many electromedical SKUs. Trade-level press only (acquisition announcement)."
"40","B.Well Swiss","Switzerland","Wrist BP monitors + home health devices (nebulizers, thermometers, personal care)","Wrist Blood Pressure Monitor","Anatomic/universal cuff for people with different constitutions; one-size-fits-most","1","Est. ~$202K annual revenue; ~18 employees. Swiss AG (stock corporation) with CHF 100K capital. Extremely small. No VC funding.","1","https://www.bwell-swiss.ch","B2B","B.Well Swiss auf der MEDICA 2025 — B.Well Swiss News — https://bwell-swiss.de/news/b-well-swiss-auf-der-medica-2025/","2","4","FILTER FAIL: Swiss private company, not public, no Series B+. Micro-cap (~$202K revenue, 18 employees). ISO 13485 certified, MDR compliant. Extremely low web presence. MEDICA trade show is industry event, not financial press coverage."
"41","Medel International","Italy","Wrist BP monitors + respiratory/nebulizer devices, thermometers, baby scales","Wrist Blood Pressure Monitor","Universal cuff (22-42 cm) included with blood pressure monitors; one-size-fits-most","1","Est. ~$24.4M annual revenue; ~70 employees. Subsidiary of Beurer GmbH (private German health/wellness company, founded 1919) since 2016. Beurer revenue ~€300M+ (2023).","2","https://www.medelinternational.com","B2B","Medel International at Arab Health 2026 — Inter-Fair — https://inter-fair.com/Announcement/Announcement?strPath=MEDELINTERNATIONAL","1","4","FILTER FAIL: Wholly-owned subsidiary of Beurer GmbH (private German family-owned company). Not public, not Series B+. Beurer is a large private company (~€300M revenue) but not publicly traded. Medel brand present in 70+ countries — legitimate global sales. Best-funded of batch via parent, but still not public/Series B+."
"42","Corsano Health","Netherlands","Global market","Medical Watch (CardioWatch 287 multi-sensor)","CardioWatch is a wrist-worn medical bracelet designed for continuous wear; one-size-fits-most adjustable band","1","Private. No public VC rounds found. Revenue not disclosed. EU MDR + FDA cleared. Needs verification. Source: https://corsano.com/","1","https://corsano.com","B2B platform","Medtronic expands its Acute Care & Monitoring wearables portfolio in the U.S. with a new distribution agreement for the Corsano multi-parameter wearable — Medtronic News — June 4, 2026 — https://news.medtronic.com/Medtronic-expands-its-Acute-Care-Monitoring-wearables-portfolio-in-the-U-S-with-a-new-distribution-agreement-for-the-Corsano-TM-multi-parameter-wearable","1","3","Needs verification: no public funding data. EU MDR + FDA cleared but unclear if Series B+. Flag as 'Needs verification'."
"43","Viatom / Wellue","China","Wrist health monitoring, BP, ECG, SpO₂","Consumer medical wearables","O2Ring is a ring (sizing kit included), BP Watch is a wrist-worn cuff device; one-size-fits-most with adjustable options","1","No VC funding raised (bootstrapped/self-funded per Tracxn). Revenue undisclosed, early-stage consumer sales via Amazon and DTC.","1","https://getwellue.com","D2C","FDA approves Viatom smart ring pulse oximeter (O2Ring) — AASM — June 6, 2025 — https://aasm.org/apnimed-announces-positive-results-in-clinical-trial-of-sleep-apnea-medication-2-2/","1","3","FILTER FAIL: Private company with no VC funding (not Series B+). Two brands: Viatom (B2B/OEM) and Wellue (DTC). Founded 2013 in Shenzhen. FDA-cleared Checkme Pro and O2Ring. No institutional funding found. Revenue likely sub-$10M."
"44","ChoiceMMed (Beijing Choice Electronic Technology)","China","Wrist blood pressure monitors, pulse oximeters, homecare medical devices","Consumer home healthcare devices","Medical-grade devices with standard universal cuffs for patient monitoring","1","Private, Series A. $16M total funding raised (per Tracxn). Founded 1993. Revenue undisclosed but likely $10-30M based on funding stage and market presence.","1","https://www.choicemmed.com","B2B","ChoiceMMed Showcases Innovative Solutions at Hospitalar 2026 in São Paulo — ChoiceMMed News — May 22, 2026 — http://www.choicemmed.com/news/dynamic_new","1","3","FILTER FAIL: Private company at Series A stage (not Series B+). Founded 1993 in Beijing. Strong in pulse oximetry segment with wide product range. Wrist BP models (MDBP203) and wrist pulse-ox (MD300W). 26+ years in medical diagnostics. Limited brand visibility outside China and trade channels. No major media coverage."
"45","Jumper Medical (Shenzhen Jumper Medical Equipment Co., Ltd.)","China","Global (exports via Alibaba, FCC certified for US, present in Bangladesh and other markets)","Wrist BP + maternal/child healthcare devices + home vitals","Fetal Doppler and BP monitors with universal/standard sizing","1","PRIVATE company, founded 1998. NO evidence of Series A/B/C funding rounds found on Crunchbase, PitchBook, Dealroom, or Tracxn. Revenue not publicly disclosed; estimated $10M-$50M based on employee count and Alibaba presence. NOT meeting Public or Series B+ filter.","1","https://www.jumper-medical.com / https://jumpermmed.com","B2B","Jumper Medical showcases AngelSounds maternal care at 2026 Spring CMEF — Jumper Medical News — April 13, 2026 — https://www.jumper-medical.com/","1","3","FILTER FAIL: Private company with no evidence of Series B+ funding. Founded 1998, mature but small/mid-sized Chinese OEM. Primarily a contract manufacturer for maternal/child devices with BP monitors as a secondary line. Low priority due to filter failure and low scores across all dimensions. Include for completeness but flag as below threshold."
"46","Uebe Medical GmbH (Visomat)","Germany","Germany + EU (primarily DACH region)","Wrist BP monitors (visomat Handy) + arm BP monitors + thermometers","Multiple cuff sizes available across brands (visomat, visocor); different sizes matter for measurement accuracy","2","PRIVATE German GmbH, founded 1920s. ~8 employees (RocketReach). Revenue not publicly disclosed; estimated <€5M based on company size. North Data shows financials available only to premium subscribers. NO evidence of Series B+ funding. Very small, traditional family-owned German medical device manufacturer.","1","https://www.uebe.com / https://www.visomat.de","B2B","UEBE Medical — 135 years of precision and trust in medical technology — LinkedIn — 2026 — https://www.linkedin.com/posts/uebe-medical-gmbh_uebemedical-madeingermany-medicaltechnology-activity-7427436457889452032-ZA2X","1","4","FILTER FAIL: Private company with no Series B+ funding. ~8 employees, estimated <€5M revenue. Very small traditional German medical device company. visomat brand has legacy recognition in German pharmacies but minimal growth or innovation signals. visomat Handy wrist BP is a basic commodity product. Below all thresholds for B2B consideration."
"47","Veridian Healthcare","USA","Wrist BP monitors + home diagnostic equipment (thermometers, pulse oximeters, nebulizers)","Wrist Blood Pressure Monitor","Different cuff sizes available (adult standard); improper fit can affect readings","2","Est. ~$6.4M annual revenue; ~50–56 employees. Privately held since founding in 2009. No VC funding.","1","https://www.veridianhealthcare.com","B2B","Review Veridian Healthcare 01–554 SmartHeart Automatic Digital Blood Pressure Arm Monitor — Medium — Oct 20, 2025 — https://medium.com/review-home-appliance/review-veridian-healthcare-01-554-smartheart-automatic-digital-blood-pressure-arm-monitor-e1030b1c0db1","1","4","FILTER FAIL: Private US company, not public, no Series B+. Small revenue (~$6.4M). Importer/distributor model, not manufacturer. No meaningful media coverage; Bloomberg profile is automated directory listing only. Declining web traffic."
"48","Vive Health","USA","Wrist BP monitors + durable medical equipment (walkers, rollators, mobility aids)","Wrist Blood Pressure Monitor","Extensive product range with different sizes/options; proper sizing important for braces, cuffs, supports","2","Raised $3.65M total (seed round). Investors: MrPink VC, Fresh Ventures, Green Egg Ventures, Pareto Holdings. Revenue undisclosed but estimated modest given seed stage.","1","https://www.vivehealth.com","D2C","Physical Therapist From Vive Health Demonstrates 8 Easy Hand & Finger Exercises Using Therapy Putty on YouTube — PRUnderground — https://www.prunderground.com/physical-therapist-from-vive-health-demonstrates-8-easy-hand-finger-exercises-using-therapy-putty-on-youtube/00181264/","1","4","FILTER FAIL: Private US company. Raised only $3.65M — seed/early stage, not Series B+. Not public. Revenue likely <$15M. Wrist BP is one of many DME SKUs. No major media coverage (no WSJ/Bloomberg/TC/Reuters)."
"49","Scala Electronic GmbH","Germany","Wrist BP monitors + thermometers, home diagnostic devices","Wrist Blood Pressure Monitor","Blood pressure monitors with universal wrist/arm cuffs; one-size-fits-most design","1","Revenue undisclosed. Small private German GmbH headquartered in Stahnsdorf. No VC funding. Estimated <$5M revenue based on company profile.","1","https://www.scala-electronic.de","B2B","No major media mention in last 6 months; company active via website at https://scala-electronic.de/","1","3","FILTER FAIL: Private German GmbH, not public, no Series B+. Small niche manufacturer focused on German-speaking market. No media presence. Products listed on B2B directories only."
"50","Diagnosis S.A. (listed as 'Diagnostic S.A.')","Poland","Wrist BP monitors + medical devices, diagnostic tests, dietary supplements","Wrist Blood Pressure Monitor","Blood pressure monitors with universal cuffs; standard sizing","1","Net sales decreased 5.75% in 2024. Total assets growth 1.13%. Share capital: 603,000 PLN (~$150K). Small private Polish joint-stock company (SA). ~11-50 employees. Revenue estimated <$5M.","1","https://www.diagnosis.pl","B2B","Good investor instead of a credit — Diagnosis S.A. receives Podlaski Equity Investment Fund investment — Diagnosis Media — https://diagnosis.pl/en/media/good-investor-instead-of-a-credit","1","3","FILTER FAIL: Private Polish SA (joint-stock but not publicly listed). Not Series B+. Declining sales (-5.75% in 2024). Very small capital base. NOTE: Company name is 'Diagnosis S.A.' (not 'Diagnostic S.A.' as listed in batch). Offers OEM/ODM manufacturing. No significant media coverage."
"51","Nothing Technology / CMF (CMF Watch)","UK","Global market","Smartwatch (consumer fitness/health tracking)","CMF Watch Pro/2 uses optical PPG sensors for heart rate and SpO₂ monitoring. These sensors require snug, consistent wrist contact — a loose or ill-fitting band causes light leakage and motion artifacts, degrading measurement accuracy.","2","Nothing raised ~$250M+ total (Series C $200M in Sep 2025 at $1.3B valuation, Series B $70M 2022, Series A $50M 2021, seed $7M). Unicorn status since 2025.","3","https://nothing.tech","D2C","May 12, 2026 — Charli XCX named Nothing's first Global Brand Ambassador and shareholder — Hypebeast / DesignScene. Sep 2025: CMF spun off as standalone India subsidiary ($100M JV with Optiemus Infracom).","2","7","FILTER PASS: consumer brand, NOT medical-grade (no FDA/MDR cert). PPG-based HR/SpO₂, step counting, sleep tracking. CMF spun off as standalone India entity Sep 2025."
