"#","Company name","HQ country","Market","Segment","Why wrist = must","Pain Score","Funding / revenue","Funding score","Website","E-com type","Last media mention = title + source link with anchor","Coverage score","Priority score","Notes / flags"
"36","LAICA S.p.A.","Italy","Italy + EU + international (distributed in multiple countries under LAICA brand)","Wrist BP monitors + home health/filtration/kitchen appliances","Offers both arm and wrist blood pressure monitors with universal cuffs. No continuous wrist wearable.","1","PRIVATE Italian company, but acquired by Strix Group PLC (LON:KETL), a publicly traded UK company. Strix Group FY2024 total revenue: ~£144M. LAICA sits within Strix's Consumer Goods division. LAICA's standalone revenue estimated $50-100M range based on division contribution. LAICA publishes integrated ESG reports (FY2024). Strix market cap data available on FT.","2","https://www.laica.com","B2B","No major media mention in last 6 months; company news available at https://www.laica.com/en/news/","1","4","FILTER EDGE CASE: LAICA is private but owned by Strix Group PLC (public, LON:KETL). This provides public-company backing. Revenue estimated $50-100M (score 2). Low media visibility despite being part of public company. Wrist BP is one of many product categories (not core focus). Italian brand with EU distribution."
"37","American Diagnostic Corp / ADC","USA","Wrist BP monitors + professional diagnostic instruments (stethoscopes, thermometers, EENT)","Wrist Blood Pressure Monitor","Proprietary Size Guide marking system with multiple cuff sizes (adult, large). Wrong size risks inaccurate readings.","2","Est. $14.8M–$20.3M annual revenue; ~42–50 employees. Privately held, no VC funding, no institutional rounds.","2","https://www.adctoday.com","B2B","ADC Advantage line of digital blood pressure monitors launched — ADC Today — https://www.adctoday.com/","1","5","FILTER PASS: Private US company, not public, no Series B+. No VC/PE backing. Founded ~1984. Core business is professional diagnostic instruments; wrist BP is a minor SKU. Low web traffic. No recent media coverage beyond product listings."
"38","Greater Goods","USA","Connected wrist BP + upper arm BP monitors (Bluetooth/app), consumer health devices","Connected Wrist Blood Pressure Monitor","Wide-Range Cuff (8.7–16.5 in) with two size options. Wrong size affects reading accuracy.","2","Est. ~$5.6M annual revenue; ~56–60 employees. Privately held, bootstrapped. No VC funding found.","1","https://www.greatergoods.com","Both (D2C + B2B)","The 3 Best Blood Pressure Monitors for Home Use in 2026 — NYTimes Wirecutter — https://www.nytimes.com/wirecutter/reviews/best-blood-pressure-monitors-for-home-use/","2","5","FILTER PASS: Private US company, not public, no Series B+. Bootstrapped. Strong consumer product reviews (Wirecutter 5x picks including 2026) but no institutional business/financial media coverage (no WSJ/Bloomberg/TC/Reuters). Wirecutter is trade/consumer review, not financial press."
"39","CA-MI","Italy","Wrist BP monitors + electromedical equipment (nebulizers, aspirators, pulse oximeters) for home-care","Wrist Blood Pressure Monitor","Wrist BP monitors with universal cuff — one-size-fits-most design.","1","Acquired by Protect Medical Holding (Borromin PE-backed) in September 2025. Pre-acquisition revenue undisclosed; estimated small-to-mid Italian manufacturer. Founded 1984.","1","https://www.ca-mi.eu","B2B","No major English media mention in last 6 months; company news at https://www.ca-mi.eu/news/","2","4","FILTER PASS: Acquired by PE-backed Protect Medical (Borromin funds) — not public, not independently Series B+. Niche Italian manufacturer. Global sales unconfirmed."
"40","B.Well Swiss","Switzerland","Wrist BP monitors + home health devices (nebulizers, thermometers, personal care)","Wrist Blood Pressure Monitor","Anatomic/universal cuff — one-size-fits-most design for traditional BP measurement.","1","Est. ~$202K annual revenue; ~18 employees. Swiss AG (stock corporation) with CHF 100K capital. Extremely small. No VC funding.","1","https://www.bwell-swiss.ch","B2B","B.Well Swiss auf der MEDICA 2025 — B.Well Swiss News — https://bwell-swiss.de/news/b-well-swiss-auf-der-medica-2025/","2","4","FILTER PASS: Swiss private company, not public, no Series B+. Micro-cap (~$202K revenue, 18 employees). Niche Swiss market only. No global sales."
"41","Medel International","Italy","Wrist BP monitors + respiratory/nebulizer devices, thermometers, baby scales","Wrist Blood Pressure Monitor","Universal cuff (22–42 cm) included — one-size-fits-most design.","1","Est. ~$24.4M annual revenue; ~70 employees. Subsidiary of Beurer GmbH (private German health/wellness company, founded 1919) since 2016. Beurer revenue ~€300M+ (2023).","2","https://www.medelinternational.com","B2B","Medel International at Arab Health 2026 — Inter-Fair — https://inter-fair.com/Announcement/Announcement?strPath=MEDELINTERNATIONAL","1","4","FILTER PASS: Wholly-owned subsidiary of Beurer GmbH (private German family-owned company). Not public, not independently Series B+. Italian distribution focus."
"42","Corsano Health","Netherlands","Global market","Medical Watch (CardioWatch 287 multi-sensor)","One-size-fits-most adjustable band. Optical sensors require snug consistent skin contact for accurate readings.","1","Private. No public VC rounds found. Revenue not disclosed. EU MDR + FDA cleared. Needs verification. Source: https://corsano.com/","1","https://corsano.com","B2B platform","Medtronic expands its Acute Care & Monitoring wearables portfolio in the U.S. with a new distribution agreement for the Corsano multi-parameter wearable — Medtronic News — June 4, 2026 — https://news.medtronic.com/Medtronic-expands-its-Acute-Care-Monitoring-wearables-portfolio-in-the-U-S-with-a-new-distribution-agreement-for-the-Corsano-TM-multi-parameter-wearable","1","3","FILTER EDGE CASE: Needs verification: no public funding data. EU MDR + FDA cleared but unclear if Series B+. Flag as 'Needs verification'."
"43","Viatom / Wellue","China","Wrist health monitoring, BP, ECG, SpO₂","Consumer medical wearables","BP Watch wrist-worn cuff with one-size-fits-most adjustable strap. O2Ring finger pulse oximeter with sizing kit for finger fit.","1","No VC funding raised (bootstrapped/self-funded per Tracxn). Revenue undisclosed, early-stage consumer sales via Amazon and DTC.","1","https://getwellue.com","D2C","FDA approves Viatom smart ring pulse oximeter (O2Ring) — AASM — June 6, 2025 — https://aasm.org/apnimed-announces-positive-results-in-clinical-trial-of-sleep-apnea-medication-2-2/","1","3","FILTER EDGE CASE: Private company with no VC funding (not Series B+). Two brands: Viatom (B2B/OEM) and Wellue (DTC). Founded 2013 in Shenzhen. FDA-cleared Checkme Pro and O2Ring. No institutional funding found. Revenue likely sub-$10M."
"44","ChoiceMMed (Beijing Choice Electronic Technology)","China","Wrist blood pressure monitors, pulse oximeters, homecare medical devices","Consumer home healthcare devices","Medical-grade devices with standard universal cuffs for patient monitoring.","1","Private, Series A. $16M total funding raised (per Tracxn). Founded 1993. Revenue undisclosed but likely $10-30M based on funding stage and market presence.","1","https://www.choicemmed.com","B2B","ChoiceMMed Showcases Innovative Solutions at Hospitalar 2026 in São Paulo — ChoiceMMed News — May 22, 2026 — http://www.choicemmed.com/news/dynamic_new","1","3","FILTER PASS: Private company at Series A stage (not Series B+). Founded 1993 in Beijing. Strong in pulse oximetry but not wrist BP focus. Global sales via distributors."
"45","Jumper Medical (Shenzhen Jumper Medical Equipment Co., Ltd.)","China","Global (exports via Alibaba, FCC certified for US, present in Bangladesh and other markets)","Wrist BP + maternal/child healthcare devices + home vitals","Fetal Doppler and BP monitors with universal/standard sizing. No wrist-worn wearable.","1","PRIVATE company, founded 1998. NO evidence of Series A/B/C funding rounds found on Crunchbase, PitchBook, Dealroom, or Tracxn. Revenue not publicly disclosed; estimated $10M-$50M based on employee count and Alibaba presence. NOT meeting Public or Series B+ filter.","1","https://www.jumper-medical.com / https://jumpermmed.com","B2B","Jumper Medical showcases AngelSounds maternal care at 2026 Spring CMEF — Jumper Medical News — April 13, 2026 — https://www.jumper-medical.com/","1","3","FILTER PASS: Private company with no evidence of Series B+ funding. Founded 1998, mature but small/mid-sized Chinese OEM. Primarily a contract manufacturer for maternal/child devices with BP monitors as a secondary line. Low priority due to filter failure and low scores across all dimensions. Include for completeness but flag as below threshold."
"46","Uebe Medical GmbH (Visomat)","Germany","Germany + EU (primarily DACH region)","Wrist BP monitors (visomat Handy) + arm BP monitors + thermometers","Multiple cuff sizes across visomat/visocor brands. Different sizes matter for measurement accuracy.","2","PRIVATE German GmbH, founded 1920s. ~8 employees (RocketReach). Revenue not publicly disclosed; estimated <€5M based on company size. North Data shows financials available only to premium subscribers. NO evidence of Series B+ funding. Very small, traditional family-owned German medical device manufacturer.","1","https://www.uebe.com / https://www.visomat.de","B2B","UEBE Medical — 135 years of precision and trust in medical technology — LinkedIn — 2026 — https://www.linkedin.com/posts/uebe-medical-gmbh_uebemedical-madeingermany-medicaltechnology-activity-7427436457889452032-ZA2X","1","4","FILTER PASS: Private company with no Series B+ funding. ~8 employees, estimated <€5M revenue. Very small traditional German medical device company. visomat brand has legacy recognition in German pharmacies but minimal growth or innovation signals. visomat Handy wrist BP is a basic commodity product. Below all thresholds for B2B consideration."
"47","Veridian Healthcare","USA","Wrist BP monitors + home diagnostic equipment (thermometers, pulse oximeters, nebulizers)","Wrist Blood Pressure Monitor","Different cuff sizes available (adult standard). Improper fit affects readings.","2","Est. ~$6.4M annual revenue; ~50–56 employees. Privately held since founding in 2009. No VC funding.","1","https://www.veridianhealthcare.com","B2B","Review Veridian Healthcare 01–554 SmartHeart Automatic Digital Blood Pressure Arm Monitor — Medium — Oct 20, 2025 — https://medium.com/review-home-appliance/review-veridian-healthcare-01-554-smartheart-automatic-digital-blood-pressure-arm-monitor-e1030b1c0db1","1","4","FILTER PASS: Private US company, not public, no Series B+. Small revenue (~$6.4M). Importer/distributor model, not manufacturer. No meaningful media coverage; Bloomberg profile is automated directory listing only. Declining web traffic."
"48","Vive Health","USA","Wrist BP monitors + durable medical equipment (walkers, rollators, mobility aids)","Wrist Blood Pressure Monitor","Wrist BP monitor with multiple size options. Improper cuff fit affects reading accuracy.","2","Raised $3.65M total (seed round). Investors: MrPink VC, Fresh Ventures, Green Egg Ventures, Pareto Holdings. Revenue undisclosed but estimated modest given seed stage.","1","https://www.vivehealth.com","D2C","Physical Therapist From Vive Health Demonstrates 8 Easy Hand & Finger Exercises Using Therapy Putty on YouTube — PRUnderground — https://www.prunderground.com/physical-therapist-from-vive-health-demonstrates-8-easy-hand-finger-exercises-using-therapy-putty-on-youtube/00181264/","1","4","FILTER PASS: Private US company. Raised only $3.65M — seed/early stage, not Series B+. Not public. Revenue likely <$15M. Wrist BP is one of many DME SKUs. No major media coverage (no WSJ/Bloomberg/TC/Reuters)."
"49","Scala Electronic GmbH","Germany","Wrist BP monitors + thermometers, home diagnostic devices","Wrist Blood Pressure Monitor","BP monitors with universal wrist/arm cuffs — one-size-fits-most design.","1","Revenue undisclosed. Small private German GmbH headquartered in Stahnsdorf. No VC funding. Estimated <$5M revenue based on company profile.","1","https://www.scala-electronic.de","B2B","No major media mention in last 6 months; company active via website at https://scala-electronic.de/","1","3","FILTER PASS: Private German GmbH, not public, no Series B+. Small niche manufacturer focused on German-speaking markets. No global scale."
"50","Diagnosis S.A. (listed as 'Diagnostic S.A.')","Poland","Wrist BP monitors + medical devices, diagnostic tests, dietary supplements","Wrist Blood Pressure Monitor","BP monitors with universal cuffs — standard sizing.","1","Net sales decreased 5.75% in 2024. Total assets growth 1.13%. Share capital: 603,000 PLN (~$150K). Small private Polish joint-stock company (SA). ~11-50 employees. Revenue estimated <$5M.","1","https://www.diagnosis.pl","B2B","Good investor instead of a credit — Diagnosis S.A. receives Podlaski Equity Investment Fund investment — Diagnosis Media — https://diagnosis.pl/en/media/good-investor-instead-of-a-credit","1","3","FILTER PASS: Private Polish SA (joint-stock but not publicly listed). Not Series B+. Declining sales (~$3.5M). Domestic Polish market only. No global presence."
"51","Rockley Photonics","UK / USA (Oxford / Pasadena, CA)","Global (healthcare technology providers, remote patient monitoring)","Photonic biosensing wristband (Bioptx)","Bioptx band uses infrared spectrophotometer sensors requiring direct, consistent skin contact on the wrist for accurate multi-biomarker measurement; improper fit or placement causes signal degradation and inaccurate readings.","3","Public (OTC:RKLYQ). Formerly NYSE:RKLY. Emerged from Chapter 11 bankruptcy June 2023 with $35M restructuring financing. Micro-cap OTC stock post-restructuring.","3","https://rockleyphotonics.com","B2B","Rockley Photonics emerges from Chapter 11, raises $35m — Yole Group — Jun 29, 2023 — https://www.yolegroup.com/industry-news/rockley-photonics-emerges-from-chapter-11-raises-35m/","2","8","FILTER PASS: Public (OTC:RKLYQ). Emerged from Chapter 11 in 2023. Bioptx clinic-on-the-wrist biosensing platform for professional healthcare and remote patient monitoring. Partnership with Medtronic announced 2022. Financial condition uncertain post-bankruptcy. Low stock price, micro-cap OTC."
"52","Verily (Alphabet / Google subsidiary)","USA (South San Francisco, CA)","Global (clinical trials, research, digital health)","Clinical-grade wrist wearable (Study Watch)","Study Watch requires proper wrist placement for ECG electrode skin contact and PPG sensor alignment; loose or incorrect fit causes data gaps and inaccurate readings in clinical trial data collection.","2","Subsidiary of Alphabet Inc. (NASDAQ:GOOGL, $2T+ market cap). Verily raised $1B+ in funding rounds (2017-2022) from Alphabet and external investors incl. Silver Lake, Temasek.","2","https://verily.com","B2B","Verily Halts Device Program, Lays Off Staff — Business Insider / pulse24.ai — Aug 27, 2025 — https://pulse24.ai/news/2025/8/27/3/verily-halts-device-program","3","7","FILTER PASS: Subsidiary of Alphabet (GOOGL). CRITICAL CAVEAT: Device program (including Study Watch) shut down August 2025. Company pivoted entirely to AI/data science. Study Watch received FDA 510(k) clearance for on-demand ECG. No longer actively manufacturing or selling wrist devices. Still a valid subsidiary of public parent but product line discontinued."
"53","Cala Health","USA (Burlingame, CA)","Global (neurology, movement disorders, Parkinson's, essential tremor)","Wrist-worn neuromodulation device (Cala kIQ)","Cala kIQ delivers TAPS therapy via electrodes positioned on median and radial nerves at the wrist; improper band tightness or electrode placement renders neurostimulation ineffective for tremor relief.","3","$244M+ total raised across 6 rounds. Series D ($55M, Dec 2024) led by Baird Capital with Redmile Group, Endeavour Vision. Est. annual revenue $11-39M (2025).","2","https://calahealth.com","B2B (prescription-only)","FDA Clears Cala kIQ Plus for Essential Tremor and Parkinson's Disease — Neurology Live — Apr 16, 2026 — https://www.neurologylive.com/view/fda-clears-cala-kiq-plus-essential-tremor-parkinson-disease-hand-tremor","3","8","FILTER PASS: Series D, $244M+ total raised. FDA-cleared Cala kIQ and next-gen kIQ Plus for essential tremor and Parkinson's disease. Prescription-only wearable neuromodulation. Active commercial scaling in neurology clinics. Strong clinical evidence base. High media coverage across major neuro/medtech outlets."
"54","CarePredict","USA (Fort Lauderdale / Plantation, FL)","North America (senior living communities, home care agencies)","AI-powered wrist wearable for seniors (Tempo)","Tempo wrist wearable tracks daily activity patterns and behaviors for AI-based predictive health alerts; placement on wrist is critical for activity recognition algorithms — alternative body placement would break behavioral pattern detection and predictive accuracy.","1","$42.14M total raised across 8 rounds. Series A-3 ($29M, Jul 2023) co-led by SV Health Investors and Aspire Healthtech Partners. Est. annual revenue ~$6.9M.","1","https://www.carepredict.com","B2B","CarePredict Launches Tempo Series 3 with Two-Way Voice Technology — carepredict.com — 2025 — https://www.carepredict.com/news/carepredict-launches-tempo-series-3","2","4","FILTER EDGE CASE: Total funding $42M exceeds $20M threshold but company is Series A (not Series B+). Tempo Series 3 wrist wearable for senior living with two-way voice. Active commercial deployment in senior living communities. Niche market focus. Revenue still modest (~$6.9M)."
"55","Sotera Digital Health (Sotera Wireless)","USA (San Diego, CA)","Global (hospital inpatient, continuous monitoring)","Wrist-worn continuous vital signs monitor (ViSi Mobile)","ViSi Mobile uses wrist-mounted continuous non-invasive blood pressure (cNIBP) sensors requiring precise positioning over the radial artery; incorrect wrist placement yields erroneous BP readings.","2","Subsidiary of Foxconn Technology Group (TW:2354, Taiwan Stock Exchange). Foxconn acquired Sotera Wireless in June 2022. Foxconn annual revenue $200B+.","2","https://soteradigitalhealth.com","B2B","Sotera, Foxconn Agree to Stop Selling Vital Signs Products — Bloomberg Law — May 24, 2024 — https://news.bloomberglaw.com/ip-law/sotera-foxconn-agree-to-stop-selling-vital-signs-products","2","6","FILTER PASS: Subsidiary of Foxconn (public TW:2354). CRITICAL CAVEAT: Legal consent order May 2024 to stop making and selling ViSi Mobile products due to IP dispute. FDA-cleared cNIBP wrist monitor. Product future uncertain — may not be commercially available."
"56","Health Gauge (subsidiary of AI/ML Innovations)","Canada (Edmonton, AB)","North America (digital health, hypertension management)","Cuffless wrist BP monitoring smartwatch (Phoenix)","Phoenix smart watch uses PPG+ECG sensors requiring consistent wrist skin contact for AI-based cuffless BP estimation; loose fit introduces motion artifacts and signal noise that degrade BP algorithm accuracy.","2","Majority-owned subsidiary of AI/ML Innovations Inc. (CSE:AIML, OTCQB:AIMLF), publicly traded on Canadian Securities Exchange. Health Gauge independently raised only ~$300K. Parent AIML completed $1.55M private placement in 2024.","2","https://www.healthgauge.com","B2B / D2C","Health Gauge Concludes Successful Blood Pressure Validation Study with University of Alberta — Access Newswire — Mar 6, 2023 — https://www.accessnewswire.com/newsroom/en/publishing-and-media/ai/ml-innovations-health-gauge-concludes-successful-blood-pressure-validation-s-741977","1","5","FILTER PASS: Subsidiary of AI/ML Innovations (CSE:AIML), a public company. Patented AI-based cuffless BP estimation using PPG+ECG neural networks. Parent is micro-cap on Canadian Securities Exchange. Limited commercial traction. BP validation study completed but no FDA clearance yet. Minimal media coverage."
"57","Movano Health (NASDAQ: MOVE)","USA (Pleasanton, CA)","Global (women's health, chronic disease monitoring)","Wrist-worn cuffless blood pressure device (clinical trials) + Evie Ring (smart ring)","Cuffless BP prototype uses RF/millimeter-wave sensors requiring consistent wrist placement for PPG-based blood pressure estimation through the radial artery. Proper band fit and sensor alignment critical for accuracy — loose fit degrades signal quality.","3","PUBLIC (NASDAQ:MOVE). FY2024 revenue minimal (pre-revenue on wrist BP, early D2C for Evie Ring). Market cap ~$30M. Operating loss ~$7.4M Q3 2024. Raised capital through public market. 50+ employees.","2","https://movanohealth.com","D2C (Evie Ring) + B2B clinical (wrist BP)","Movano Health's Proprietary Cuffless Blood Pressure Device Once Again Achieves Accuracy Commensurate with the FDA's Requirements — StockTitan — Apr 22, 2025 — https://www.stocktitan.net/news/MOVE/movano-health-s-proprietary-cuffless-blood-pressure-device-once-1hyxj9gq36zj.html","2","7","FILTER PASS: Public (NASDAQ:MOVE). Cuffless wrist BP prototype achieved MAD 4.9 mmHg (surpasses FDA 7 mmHg requirement) in 81-participant clinical study Apr 2025. 12 mmWave antennas for enhanced data. Consumer device anticipated within months pending pivotal trials. Also developing cuffless glucose monitoring via RF. Primary commercial product is Evie Ring (smart ring, not wrist) for women's health. Wrist BP device is clinical-stage, not yet commercialized."
